Year,Sex,Grupa de vârstă  a victimei,Mijloace de săvîrșire,Contextul/motivul,Value
2015,,0-17 ani,,,0.495
2015,,18 ani și peste,,,8.38
2015,,,Arme de foc şi substanţe explozive,,0.283
2015,,,"Arme albe (cuţit, obiect înţepător)",,0.991
2015,,,"Instrumente (rangă, topor, ciocan etc.)",,0.283
2015,,,Alte mijloace,,5.132
2015,,,,Răzbunare,0.106
2015,,,,Gelozie,0.177
2015,,,,Ceartă,1.203
2015,,,,Motiv legat de relaţii familiare,0.354
2015,,,,La comandă,0.035
2015,,,,Alte motive,4.813
2016,,,,,7.192
2016,Bărbați,,,,11.39
2016,Femei,,,,3.319
2016,,0-17 ani,,,0.166
2016,,18 ani și peste,,,9.133
2016,,,Arme de foc şi substanţe explozive,,0.252
2016,,,"Arme albe (cuţit, obiect înţepător)",,1.295
2016,,,"Instrumente (rangă, topor, ciocan etc.)",,0.18
2016,,,Alte mijloace,,5.466
2016,,,,Răzbunare,0.108
2016,,,,Gelozie,0.108
2016,,,,Ceartă,0.935
2016,,,,Motiv legat de relaţii familiare,0.36
2016,,,,La comandă,
2016,,,,Alte motive,5.682
2017,,,,,5.166
2017,Bărbați,,,,8.047
2017,Femei,,,,2.527
2017,,0-17 ani,,,0.839
2017,,18 ani și peste,,,6.375
2017,,,Arme de foc şi substanţe explozive,,0.513
2017,,,"Arme albe (cuţit, obiect înţepător)",,1.612
2017,,,"Instrumente (rangă, topor, ciocan etc.)",,0.476
2017,,,Alte mijloace,,2.564
2017,,,,Răzbunare,0.22
2017,,,,Gelozie,0.22
2017,,,,Ceartă,1.612
2017,,,,Motiv legat de relaţii familiare,0.403
2017,,,,La comandă,0.037
2017,,,,Alte motive,2.674
2018,,,,,6.183
2018,Bărbați,,,,9.75
2018,Femei,,,,2.923
2018,,0-17 ani,,,0.856
2018,,18 ani și peste,,,7.427
2018,,,Arme de foc şi substanţe explozive,,0.484
2018,,,"Arme albe (cuţit, obiect înţepător)",,1.639
2018,,,"Instrumente (rangă, topor, ciocan etc.)",,0.559
2018,,,Alte mijloace,,3.501
2018,,,,Răzbunare,0.186
2018,,,,Gelozie,0.074
2018,,,,Ceartă,1.527
2018,,,,Motiv legat de relaţii familiare,0.521
2018,,,,La comandă,0.0
2018,,,,Alte motive,3.874
2019,,,,,6.506
2019,Bărbați,,,,9.903
2019,Femei,,,,3.402
2019,,0-17 ani,,,1.398
2019,,18 ani și peste,,,7.917
2019,,,Arme de foc şi substanţe explozive,,0.605
2019,,,"Arme albe (cuţit, obiect înţepător)",,2.005
2019,,,"Instrumente (rangă, topor, ciocan etc.)",,0.34
2019,,,Alte mijloace,,3.556
2019,,,,Răzbunare,0.454
2019,,,,Gelozie,0.416
2019,,,,Ceartă,1.513
2019,,,,Motiv legat de relaţii familiare,0.567
2019,,,,La comandă,0.0
2019,,,,Alte motive,3.556
2020,,,,,4.721
2020,Bărbați,,,,7.102
2020,Femei,,,,2.548
2020,,0-17 ani,,,1.237
2020,,18 ani și peste,,,5.677
2020,,,Arme de foc şi substanţe explozive,,0.495
2020,,,"Arme albe (cuţit, obiect înţepător)",,1.523
2020,,,"Instrumente (rangă, topor, ciocan etc.)",,0.267
2020,,,Alte mijloace,,2.437
2020,,,,Răzbunare,0.076
2020,,,,Gelozie,0.228
2020,,,,Ceartă,1.523
2020,,,,Motiv legat de relaţii familiare,0.381
2020,,,,La comandă,0.0
2020,,,,Alte motive,2.513
2021,,,,,4.133
2021,Bărbați,,,,7.224
2021,Femei,,,,1.336
2021,,0-17 ani,,,0.542
2021,,18 ani și peste,,,5.12
2021,,,Arme de foc şi substanţe explozive,,0.585
2021,,,"Arme albe (cuţit, obiect înţepător)",,1.715
2021,,,"Instrumente (rangă, topor, ciocan etc.)",,0.429
2021,,,Alte mijloace,,1.403
2021,,,,Răzbunare,0.156
2021,,,,Gelozie,0.312
2021,,,,Ceartă,1.287
2021,,,,Motiv legat de relaţii familiare,0.273
2021,,,,La comandă,0.0
2021,,,,Alte motive,2.105
2022,,,,,4.537
2022,Bărbați,,,,6.989
2022,Femei,,,,2.339
2022,,0-17 ani,,,0.743
2022,,18 ani și peste,,,5.572
2022,,,Arme de foc şi substanţe explozive,,0.239
2022,,,"Arme albe (cuţit, obiect înţepător)",,1.632
2022,,,"Instrumente (rangă, topor, ciocan etc.)",,0.478
2022,,,Alte mijloace,,2.189
2022,,,,Răzbunare,0.08
2022,,,,Gelozie,0.318
2022,,,,Ceartă,1.472
2022,,,,Motiv legat de relaţii familiare,0.239
2022,,,,La comandă,0.0
2022,,,,Alte motive,2.428
2023,,,,,3.104
2023,Bărbați,,,,4.8
2023,Femei,,,,1.585
2023,,0-17 ani,,,0.557
2023,,18 ani și peste,,,3.799
2023,,,Arme de foc şi substanţe explozive,,0.199
2023,,,"Arme albe (cuţit, obiect înţepător)",,1.194
2023,,,"Instrumente (rangă, topor, ciocan etc.)",,0.199
2023,,,Alte mijloace,,0.119
2023,,,,Răzbunare,0.04
2023,,,,Gelozie,0.04
2023,,,,Ceartă,0.995
2023,,,,Motiv legat de relaţii familiare,0.239
2023,,,,La comandă,0.0
2023,,,,Alte motive,1.791
