Year,Indicatori,Value
2010,,1.0
2010,"Suprafața, mii ha",20.0
2011,,1.0
2011,"Suprafața, mii ha",20.0
2012,,2.0
2012,"Suprafața, mii ha",40.0
2013,,3.0
2013,"Suprafața, mii ha",60.0
2014,,3.0
2014,"Suprafața, mii ha",60.0
2015,,3.5
2015,"Suprafața, mii ha",70.0
2016,,3.5
2016,"Suprafața, mii ha",70.0
2017,,3.5
2017,"Suprafața, mii ha",70.0
2018,,4.0
2018,"Suprafața, mii ha",80.0
2019,,4.0
2019,"Suprafața, mii ha",80.0
2020,,4.0
2020,"Suprafața, mii ha",80.0
2021,,5.0
2021,"Suprafața, mii ha",100.0
2022,,5.0
2022,"Suprafața, mii ha",100.0
2023,,6.0
2023,"Suprafața, mii ha",120.0
2024,,6.0
2024,"Suprafața, mii ha",120.0
