Year,Sex,Grupa de vârstă,Mediu de reședință,Nivel de educație,Grup de venituri,Value
2024,Femei,,,,,53.2
2024,,18-29,,,,68.0
2024,,30-44,,,,61.0
2024,,45-59,,,,44.8
2024,,60-74,,,,23.9
2024,,,Urban,,,65.1
2024,,,Rural,,,37.7
2024,,,,Medii incomplete,,38.2
2024,,,,General secondary education,,37.4
2024,,,,Vocational secondary education,,44.4
2024,,,,Superioare,,69.5
2024,,,,,"Săraci, 40 procente",40.1
2024,,,,,"Înstăriți, 60 procente",58.3
