Year,Sex,Nivel de instruire,Institutions where have been made payments,Value
2010,,,,
2010,Bărbați,,,
2010,Femei,,,
2010,,Secondary,,
2010,,Secondary specialized,,
2010,,Higher,,
2010,,,Tax inspectorates,
2010,,,Customs,
2010,,,Police,
2010,,,Prosecution,
2010,,,Sanitary-epidemiological inspections,
2010,,,Cadastral offices / services,
2010,,,Courts,
2010,,,Public procurement,
2010,,,Registration of the transport and issuance of the driving license,
2010,,,Technical overhaul of cars,
2010,,,Issuing construction permits,
2010,,,Work inspection,
2011,,,,
2011,Bărbați,,,
2011,Femei,,,
2011,,Secondary,,
2011,,Secondary specialized,,
2011,,Higher,,
2011,,,Tax inspectorates,
2011,,,Customs,
2011,,,Police,
2011,,,Prosecution,
2011,,,Sanitary-epidemiological inspections,
2011,,,Cadastral offices / services,
2011,,,Courts,
2011,,,Public procurement,
2011,,,Registration of the transport and issuance of the driving license,
2011,,,Technical overhaul of cars,
2011,,,Issuing construction permits,
2011,,,Work inspection,
2012,,,,47.8
2012,Bărbați,,,
2012,Femei,,,
2012,,Secondary,,
2012,,Secondary specialized,,
2012,,Higher,,
2012,,,Tax inspectorates,14.2
2012,,,Customs,19.0
2012,,,Police,15.7
2012,,,Prosecution,2.0
2012,,,Sanitary-epidemiological inspections,12.1
2012,,,Cadastral offices / services,5.1
2012,,,Courts,3.1
2012,,,Public procurement,0.4
2012,,,Registration of the transport and issuance of the driving license,6.5
2012,,,Technical overhaul of cars,13.2
2012,,,Issuing construction permits,4.1
2012,,,Work inspection,4.1
2013,,,,
2013,Bărbați,,,
2013,Femei,,,
2013,,Secondary,,
2013,,Secondary specialized,,
2013,,Higher,,
2013,,,Tax inspectorates,
2013,,,Customs,
2013,,,Police,
2013,,,Prosecution,
2013,,,Sanitary-epidemiological inspections,
2013,,,Cadastral offices / services,
2013,,,Courts,
2013,,,Public procurement,
2013,,,Registration of the transport and issuance of the driving license,
2013,,,Technical overhaul of cars,
2013,,,Issuing construction permits,
2013,,,Work inspection,
2014,,,,24.5
2014,Bărbați,,,
2014,Femei,,,
2014,,Secondary,,
2014,,Secondary specialized,,
2014,,Higher,,
2014,,,Tax inspectorates,5.5
2014,,,Customs,7.6
2014,,,Police,7.2
2014,,,Prosecution,1.1
2014,,,Sanitary-epidemiological inspections,5.7
2014,,,Cadastral offices / services,1.5
2014,,,Courts,3.5
2014,,,Public procurement,1.5
2014,,,Registration of the transport and issuance of the driving license,3.1
2014,,,Technical overhaul of cars,6.4
2014,,,Issuing construction permits,2.6
2014,,,Work inspection,3.5
2015,,,,16.2
2015,Bărbați,,,23.0
2015,Femei,,,10.4
2015,,Secondary,,18.8
