Year,Sex,Grupa de vârstă,Age group.1,Place,Dizabilitate,Mediul de reședință,Form of violence ,Value
2017,,,,,,,,
2017,,,,,,,,
2017,,,,,,,,
2017,,,,,xx,,,
2017,,,,,xx,,,
2017,,,,,xx,,,
2017,,,,,,Urban,,
2017,,,,,,Rural,,
2017,,,,,,,xx,
2017,,,,,,,xx,
2017,,,,,,,xx,
2018,,,,,,,,
2018,Bărbați,,,,,,,
2018,Femei,,,,,,,
2018,,0-14,,,,,,
2018,,,15-24,,,,,
2018,,,25-34,,,,,
2018,,,35-44,,,,,
2018,,,45-54,,,,,
2018,,,55+,,,,,
2018,,,,xx,,,,
2018,,,,,,,,
2018,,,,xx,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,,,,
2018,,,,,xx,,,
2018,,,,,xx,,,
2018,,,,,xx,,,
2018,,,,,,Urban,,
2018,,,,,,Rural,,
2018,,,,,,,xx,
2018,,,,,,,xx,
2018,,,,,,,xx,
2019,,,,,,,,
2019,Bărbați,,,,,,,
2019,Femei,,,,,,,
2019,,0-14,,,,,,
2019,,,15-24,,,,,
2019,,,25-34,,,,,
2019,,,35-44,,,,,
2019,,,45-54,,,,,
2019,,,55+,,,,,
2019,,,,xx,,,,
2019,,,,,,,,
2019,,,,xx,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,,,,
2019,,,,,xx,,,
2019,,,,,xx,,,
2019,,,,,xx,,,
2019,,,,,,Urban,,
2019,,,,,,Rural,,
2019,,,,,,,xx,
2019,,,,,,,xx,
2019,,,,,,,xx,
2020,,,,,,,,
2020,Bărbați,,,,,,,
2020,Femei,,,,,,,
2020,,0-14,,,,,,
2020,,,15-24,,,,,
2020,,,25-34,,,,,
2020,,,35-44,,,,,
2020,,,45-54,,,,,
2020,,,55+,,,,,
2020,,,,xx,,,,
2020,,,,,,,,
2020,,,,xx,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,,,,
2020,,,,,xx,,,
2020,,,,,xx,,,
2020,,,,,xx,,,
2020,,,,,,Urban,,
2020,,,,,,Rural,,
2020,,,,,,,xx,
2020,,,,,,,xx,
2020,,,,,,,xx,
2021,,,,,,,,
2021,Bărbați,,,,,,,
2021,Femei,,,,,,,
2021,,0-14,,,,,,
2021,,,15-24,,,,,
2021,,,25-34,,,,,
2021,,,35-44,,,,,
2021,,,45-54,,,,,
2021,,,55+,,,,,
2021,,,,xx,,,,
2021,,,,,,,,
2021,,,,xx,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,,,,
2021,,,,,xx,,,
2021,,,,,xx,,,
2021,,,,,xx,,,
2021,,,,,,Urban,,
2021,,,,,,Rural,,
2021,,,,,,,xx,
2021,,,,,,,xx,
2021,,,,,,,xx,
2022,,,,,,,,
2022,Bărbați,,,,,,,
2022,Femei,,,,,,,
2022,,0-14,,,,,,
2022,,,15-24,,,,,
2022,,,25-34,,,,,
2022,,,35-44,,,,,
2022,,,45-54,,,,,
2022,,,55+,,,,,
2022,,,,xx,,,,
2022,,,,,,,,
2022,,,,xx,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,,,,
2022,,,,,xx,,,
2022,,,,,xx,,,
2022,,,,,xx,,,
2022,,,,,,Urban,,
2022,,,,,,Rural,,
2022,,,,,,,xx,
2022,,,,,,,xx,
2022,,,,,,,xx,
