Year,Sex,Level of studies,Instituțiile unde s-au efectuat plăți,Value
2018,,,Instituțiile de învățământ,5.7
2018,,,Instituțiile medicale,14.6
2018,,,Oficiile stării civile,1.8
2018,,,Birourile de pașapoarte,0.3
2018,,,Serviciile comunale,0.4
2018,,,Inspecțiile antiincendiare,0.2
2018,,,Birourile notariale,0.5
2018,,,Înregistrarea transportului și calificarea conducătorilor auto,0.8
2018,,,Revizia tehnică a automobilelor,3.5
2019,,,,
2019,Bărbați,,,
2019,Femei,,,
2019,,Medii incomplete,,
2019,,Secundare,,
2019,,Mediu de specialitate,,
2019,,Superior,,
2019,,,Autorități publice centrale,
2019,,,Autorități publice locale,
2019,,,Inspectoratele fiscale,
2019,,,Vama,
2019,,,Poliția,
2019,,,Procuratura,
2019,,,Instanțele de judecată,
2019,,,Instituțiile de învățământ,
2019,,,Instituțiile medicale,
2019,,,Oficiile stării civile,
2019,,,Birourile de pașapoarte,
2019,,,Serviciile comunale,
2019,,,Inspecțiile antiincendiare,
2019,,,Birourile notariale,
2019,,,Înregistrarea transportului și calificarea conducătorilor auto,
2019,,,Revizia tehnică a automobilelor,
2020,,,,
2020,Bărbați,,,
2020,Femei,,,
2020,,Medii incomplete,,
2020,,Secundare,,
2020,,Mediu de specialitate,,
2020,,Superior,,
2020,,,Autorități publice centrale,
2020,,,Autorități publice locale,
2020,,,Inspectoratele fiscale,
2020,,,Vama,
2020,,,Poliția,
2020,,,Procuratura,
2020,,,Instanțele de judecată,
2020,,,Instituțiile de învățământ,
2020,,,Instituțiile medicale,
2020,,,Oficiile stării civile,
2020,,,Birourile de pașapoarte,
2020,,,Serviciile comunale,
2020,,,Inspecțiile antiincendiare,
2020,,,Birourile notariale,
2020,,,Înregistrarea transportului și calificarea conducătorilor auto,
2020,,,Revizia tehnică a automobilelor,
2021,,,,
2021,Bărbați,,,
2021,Femei,,,
2021,,Medii incomplete,,
2021,,Secundare,,
2021,,Mediu de specialitate,,
2021,,Superior,,
2021,,,Autorități publice centrale,
2021,,,Autorități publice locale,
2021,,,Inspectoratele fiscale,
2021,,,Vama,
2021,,,Poliția,
2021,,,Procuratura,
2021,,,Instanțele de judecată,
2021,,,Instituțiile de învățământ,
2021,,,Instituțiile medicale,
2021,,,Oficiile stării civile,
2021,,,Birourile de pașapoarte,
2021,,,Serviciile comunale,
2021,,,Inspecțiile antiincendiare,
2021,,,Birourile notariale,
2021,,,Înregistrarea transportului și calificarea conducătorilor auto,
2021,,,Revizia tehnică a automobilelor,
2022,,,,
2022,Bărbați,,,
2022,Femei,,,
2022,,Medii incomplete,,
2022,,Secundare,,
2022,,Mediu de specialitate,,
2022,,Superior,,
2022,,,Autorități publice centrale,
