Year,Indicatori,Value
2010,,
2010,Rata fondurilor proprii de nivel I în raport cu total active,
2010,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2010,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2010,Ponderea creditelor neperformante în totalul creditelor acordate,
2010,Rentabilitatea activelor,
2010,Rata activelor lichide în raport cu pasivele pe termen scurt,
2010,Rata poziției valutare deschise nete la fondurile proprii,
2011,,
2011,Rata fondurilor proprii de nivel I în raport cu total active,
2011,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2011,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2011,Ponderea creditelor neperformante în totalul creditelor acordate,
2011,Rentabilitatea activelor,
2011,Rata activelor lichide în raport cu pasivele pe termen scurt,
2011,Rata poziției valutare deschise nete la fondurile proprii,
2012,,
2012,Rata fondurilor proprii de nivel I în raport cu total active,
2012,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2012,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2012,Ponderea creditelor neperformante în totalul creditelor acordate,
2012,Rentabilitatea activelor,
2012,Rata activelor lichide în raport cu pasivele pe termen scurt,
2012,Rata poziției valutare deschise nete la fondurile proprii,
2013,,
2013,Rata fondurilor proprii de nivel I în raport cu total active,
2013,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2013,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2013,Ponderea creditelor neperformante în totalul creditelor acordate,
2013,Rentabilitatea activelor,
2013,Rata activelor lichide în raport cu pasivele pe termen scurt,
2013,Rata poziției valutare deschise nete la fondurile proprii,
2014,,
2014,Rata fondurilor proprii de nivel I în raport cu total active,
2014,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2014,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2014,Ponderea creditelor neperformante în totalul creditelor acordate,
2014,Rentabilitatea activelor,
2014,Rata activelor lichide în raport cu pasivele pe termen scurt,
2014,Rata poziției valutare deschise nete la fondurile proprii,
2015,,
2015,Rata fondurilor proprii de nivel I în raport cu total active,
2015,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2015,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2015,Ponderea creditelor neperformante în totalul creditelor acordate,
2015,Rentabilitatea activelor,
2015,Rata activelor lichide în raport cu pasivele pe termen scurt,
2015,Rata poziției valutare deschise nete la fondurile proprii,
2016,,
2016,Rata fondurilor proprii de nivel I în raport cu total active,
2016,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2016,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2016,Ponderea creditelor neperformante în totalul creditelor acordate,
2016,Rentabilitatea activelor,
2016,Rata activelor lichide în raport cu pasivele pe termen scurt,
2016,Rata poziției valutare deschise nete la fondurile proprii,
2017,,
2017,Rata fondurilor proprii de nivel I în raport cu total active,
2017,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2017,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2017,Ponderea creditelor neperformante în totalul creditelor acordate,
2017,Rentabilitatea activelor,
2017,Rata activelor lichide în raport cu pasivele pe termen scurt,
2017,Rata poziției valutare deschise nete la fondurile proprii,
2018,,
2018,Rata fondurilor proprii de nivel I în raport cu total active,
2018,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2018,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2018,Ponderea creditelor neperformante în totalul creditelor acordate,
2018,Rentabilitatea activelor,
2018,Rata activelor lichide în raport cu pasivele pe termen scurt,
2018,Rata poziției valutare deschise nete la fondurile proprii,
2019,,
2019,Rata fondurilor proprii de nivel I în raport cu total active,
2019,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2019,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2019,Ponderea creditelor neperformante în totalul creditelor acordate,
2019,Rentabilitatea activelor,
2019,Rata activelor lichide în raport cu pasivele pe termen scurt,
2019,Rata poziției valutare deschise nete la fondurile proprii,
2020,,
2020,Rata fondurilor proprii de nivel I în raport cu total active,
2020,Rata fondurilor proprii de nivel I în raport cu activele ponderate la risc,
2020,Rata creditelor neperformante (fără rezerve) in raport cu fondurile proprii,
2020,Ponderea creditelor neperformante în totalul creditelor acordate,
2020,Rentabilitatea activelor,
