Year,Area of residence,Sex,Types of offences,Ethnicity,Migration context,Citizenship,Value
2017,,,,xx,,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,Men,,,,,
2018,,Women,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,xx,,,,
2018,,,xx,,,,
2018,,,,xx,,,
2018,,,,xx,,,
2018,,,,xx,,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Men,,,,,
2019,,Women,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,xx,,,,
2019,,,xx,,,,
2019,,,,xx,,,
2019,,,,xx,,,
2019,,,,xx,,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2020,,,,,,,
2020,Urban,,,,,,
2020,Rural,,,,,,
2020,,Men,,,,,
2020,,Women,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,xx,,,,
2020,,,xx,,,,
2020,,,,xx,,,
2020,,,,xx,,,
2020,,,,xx,,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Men,,,,,
2021,,Women,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,xx,,,,
2021,,,xx,,,,
2021,,,,xx,,,
2021,,,,xx,,,
2021,,,,xx,,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Men,,,,,
2022,,Women,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,xx,,,,
2022,,,xx,,,,
2022,,,,xx,,,
2022,,,,xx,,,
2022,,,,xx,,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
