Year,Capacități ale sectorului de sănătate,Capacitățile sectorului medical (2010-2020),Value
2015,(3) Finanțare,,
2015,(4) Laboratorul,,
2015,5) Supravegherea,,
2015,(6) Resursele umane,,
2015,(7) Managementul urgențelor de sănătate,,
2015,(8) Asigurarea serviciilor de asistență medicală,,
2015,(9) Profilaxia și controlul infecțiilor,,
2015,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2015,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2015,(12) Evenimente zoonotice,,
2015,(13) Siguranța alimentelor,,
2015,(14) Evenimente  chimice,,
2015,(15) Urgențe radionucleare,,
2015,,"(01) legislația, politicile  și finanțarea națională",100.0
2015,,(02) coordonarea și legătura cu punctele focale  naționale,90.0
2015,,(03) supravegherea,100.0
2015,,(04) răspunsul,88.0
2015,,(05) pregătirea,35.0
2015,,(06) comunicarea  riscurilor,57.0
2015,,(07) resursele umane,20.0
2015,,(08) laboratorul,96.0
2015,,(09) punctele de intrare,69.0
2015,,(10)  evenimente zoonotice,100.0
2015,,(11) siguranța alimentelor,80.0
2015,,(12) evenimente  chimice,77.0
2015,,(13) urgențe radionucleare,100.0
2016,,,
2016,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2016,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2016,(3) Finanțare,,
2016,(4) Laboratorul,,
2016,5) Supravegherea,,
2016,(6) Resursele umane,,
2016,(7) Managementul urgențelor de sănătate,,
2016,(8) Asigurarea serviciilor de asistență medicală,,
2016,(9) Profilaxia și controlul infecțiilor,,
2016,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2016,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2016,(12) Evenimente zoonotice,,
2016,(13) Siguranța alimentelor,,
2016,(14) Evenimente  chimice,,
2016,(15) Urgențe radionucleare,,
2016,,"(01) legislația, politicile  și finanțarea națională",100.0
2016,,(02) coordonarea și legătura cu punctele focale  naționale,100.0
2016,,(03) supravegherea,95.0
2016,,(04) răspunsul,94.0
2016,,(05) pregătirea,53.0
2016,,(06) comunicarea  riscurilor,57.0
2016,,(07) resursele umane,0.0
2016,,(08) laboratorul,96.0
2016,,(09) punctele de intrare,69.0
2016,,(10)  evenimente zoonotice,100.0
2016,,(11) siguranța alimentelor,100.0
2016,,(12) evenimente  chimice,92.0
2016,,(13) urgențe radionucleare,92.0
2017,,,
2017,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2017,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2017,(3) Finanțare,,
2017,(4) Laboratorul,,
2017,5) Supravegherea,,
2017,(6) Resursele umane,,
2017,(7) Managementul urgențelor de sănătate,,
2017,(8) Asigurarea serviciilor de asistență medicală,,
2017,(9) Profilaxia și controlul infecțiilor,,
2017,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2017,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2017,(12) Evenimente zoonotice,,
2017,(13) Siguranța alimentelor,,
2017,(14) Evenimente  chimice,,
2017,(15) Urgențe radionucleare,,
2017,,"(01) legislația, politicile  și finanțarea națională",
2017,,(02) coordonarea și legătura cu punctele focale  naționale,
2017,,(03) supravegherea,
2017,,(04) răspunsul,
2017,,(05) pregătirea,
2017,,(06) comunicarea  riscurilor,
2017,,(07) resursele umane,
2017,,(08) laboratorul,
2017,,(09) punctele de intrare,
2017,,(10)  evenimente zoonotice,
2017,,(11) siguranța alimentelor,
2017,,(12) evenimente  chimice,
2017,,(13) urgențe radionucleare,
2018,,,
2018,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2018,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2018,(3) Finanțare,,
2018,(4) Laboratorul,,
2018,5) Supravegherea,,
2018,(6) Resursele umane,,
2018,(7) Managementul urgențelor de sănătate,,
2018,(8) Asigurarea serviciilor de asistență medicală,,
2018,(9) Profilaxia și controlul infecțiilor,,
2018,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2018,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2018,(12) Evenimente zoonotice,,
2018,(13) Siguranța alimentelor,,
2018,(14) Evenimente  chimice,,
2018,(15) Urgențe radionucleare,,
2018,,"(01) legislația, politicile  și finanțarea națională",80.0
2018,,(02) coordonarea și legătura cu punctele focale  naționale,70.0
2018,,(03) supravegherea,60.0
2018,,(04) răspunsul,80.0
2018,,(05) pregătirea,53.0
2018,,(06) comunicarea  riscurilor,80.0
2018,,(07) resursele umane,40.0
2018,,(08) laboratorul,53.0
2018,,(09) punctele de intrare,60.0
2018,,(10)  evenimente zoonotice,60.0
2018,,(11) siguranța alimentelor,60.0
2018,,(12) evenimente  chimice,40.0
2018,,(13) urgențe radionucleare,40.0
2019,,,
2019,"(1) Politici, instrumente legale și normative pentru implementarea RSI",,
2019,"(2) Coordonare RSI, Punct focal național RSI, funcții și advocacy",,
2019,(3) Finanțare,,
2019,(4) Laboratorul,,
2019,5) Supravegherea,,
2019,(6) Resursele umane,,
2019,(7) Managementul urgențelor de sănătate,,
2019,(8) Asigurarea serviciilor de asistență medicală,,
2019,(9) Profilaxia și controlul infecțiilor,,
2019,(10) Comunicarea riscurilor și implicarea comunității (RCCE),,
2019,(11) Punctele de intrare (PoE) și sănătatea la frontiere,,
2019,(12) Evenimente zoonotice,,
2019,(13) Siguranța alimentelor,,
2019,(14) Evenimente  chimice,,
2019,(15) Urgențe radionucleare,,
2019,,"(01) legislația, politicile  și finanțarea națională",72.0
2019,,(02) coordonarea și legătura cu punctele focale  naționale,70.0
2019,,(03) supravegherea,60.0
2019,,(04) răspunsul,80.0
2019,,(05) pregătirea,53.0
2019,,(06) comunicarea  riscurilor,80.0
2019,,(07) resursele umane,40.0
2019,,(08) laboratorul,53.0
2019,,(09) punctele de intrare,60.0
2019,,(10)  evenimente zoonotice,60.0
