Year,"Raportat pe o persoană, pe surse","Raportat pe o persoană, pe ingrediente","Cantitatea emisiilor, total","Cantitatea emisiilor, pe surse","Cantitatea emisiilor, pe ingrediente",Value
2019,Auto,,,,,61.5
2019,Feroviar,,,,,0.3
2019,Aerian,,,,,9.3
2019,,Oxid de carbon,,,,48.0
2019,,Dioxid de azot,,,,9.9
2019,,Dioxid de sulf,,,,3.0
2019,,Hidrocarburi,,,,7.7
2019,,Aldehide,,,,0.8
2019,,Substanțe solide,,,,1.7
2019,,,Total,,,189.5
2019,,,,Auto,,163.8
2019,,,,Feroviar,,0.9
2019,,,,Aerian,,24.8
2019,,,,,Oxid de carbon,127.8
2019,,,,,Dioxid de azot,26.5
2019,,,,,Dioxid de sulf,7.9
2019,,,,,Hidrocarburi,20.5
2019,,,,,Aldehide,2.0
2019,,,,,Substanțe solide,4.8
2020,,,,,,59.0
2020,Auto,,,,,56.3
2020,Feroviar,,,,,0.3
2020,Aerian,,,,,2.4
2020,,Oxid de carbon,,,,38.2
2020,,Dioxid de azot,,,,9.0
2020,,Dioxid de sulf,,,,2.8
2020,,Hidrocarburi,,,,6.6
2020,,Aldehide,,,,0.7
2020,,Substanțe solide,,,,1.7
2020,,,Total,,,155.6
2020,,,,Auto,,148.7
2020,,,,Feroviar,,0.7
2020,,,,Aerian,,6.2
2020,,,,,Oxid de carbon,100.6
2020,,,,,Dioxid de azot,23.9
2020,,,,,Dioxid de sulf,7.4
2020,,,,,Hidrocarburi,17.3
2020,,,,,Aldehide,1.8
2020,,,,,Substanțe solide,4.6
2021,,,,,,74.0
2021,Auto,,,,,65.8
2021,Feroviar,,,,,0.3
2021,Aerian,,,,,7.9
2021,,Oxid de carbon,,,,49.8
2021,,Dioxid de azot,,,,10.4
2021,,Dioxid de sulf,,,,3.0
2021,,Hidrocarburi,,,,8.1
2021,,Aldehide,,,,0.8
2021,,Substanțe solide,,,,1.9
2021,,,Total,,,193.4
2021,,,,Auto,,172.1
2021,,,,Feroviar,,0.7
2021,,,,Aerian,,20.6
2021,,,,,Oxid de carbon,130.3
2021,,,,,Dioxid de azot,27.2
2021,,,,,Dioxid de sulf,7.9
2021,,,,,Hidrocarburi,21.1
2021,,,,,Aldehide,2.0
2021,,,,,Substanțe solide,4.9
2022,,,,,,
2022,Auto,,,,,
2022,Feroviar,,,,,
2022,Aerian,,,,,
2022,,Oxid de carbon,,,,
2022,,Dioxid de azot,,,,
2022,,Dioxid de sulf,,,,
2022,,Hidrocarburi,,,,
2022,,Aldehide,,,,
2022,,Substanțe solide,,,,
2022,,,Total,,,
2022,,,,Auto,,
2022,,,,Feroviar,,
2022,,,,Aerian,,
2022,,,,,Oxid de carbon,
2022,,,,,Dioxid de azot,
2022,,,,,Dioxid de sulf,
2022,,,,,Hidrocarburi,
2022,,,,,Aldehide,
2022,,,,,Substanțe solide,
