Year,Sex,Value
2010,,
2010,Bărbați,
2010,Femei,
2011,,
2011,Bărbați,
2011,Femei,
2012,,
2012,Bărbați,
2012,Femei,
2013,,
2013,Bărbați,
2013,Femei,
2014,,
2014,Bărbați,
2014,Femei,
2015,,
2015,Bărbați,
2015,Femei,
2016,,
2016,Bărbați,
2016,Femei,
2017,,
2017,Bărbați,
2017,Femei,
2018,,
2018,Bărbați,
2018,Femei,
2019,,
2019,Bărbați,
2019,Femei,
2020,,0.084
2020,Bărbați,0.109
2020,Femei,0.06
2021,,0.95
2021,Bărbați,0.741
2021,Femei,1.141
2022,,0.417
2022,Bărbați,0.276
2022,Femei,0.543
2023,,0.35
2023,Bărbați,0.243
2023,Femei,0.447
2024,,0.346
2024,Bărbați,0.404
2024,Femei,0.294
