Year,Tipuri de resurse,Value
2010,,6.0
2010,Biomasă,3.6
2011,,6.2
2011,Biomasă,3.6
2012,,6.7
2012,Biomasă,3.1
2013,,7.2
2013,Biomasă,4.0
2014,,7.8
2014,Biomasă,4.4
2015,,6.5
2015,Biomasă,3.3
2016,,7.3
2016,Biomasă,4.1
2017,,8.1
2017,Biomasă,4.7
2018,,8.8
2018,Biomasă,4.9
2019,,9.0
2019,Biomasă,4.9
2020,,
2020,Biomasă,
2021,,
2021,Biomasă,
2022,,
2022,Biomasă,
