Year,Sex,Value
2010,,
2010,Femei,
2010,Bărbați,
2011,,
2011,Femei,
2011,Bărbați,
2012,,
2012,Femei,
2012,Bărbați,
2013,,91.0
2013,Femei,84.0
2013,Bărbați,99.0
2014,,93.0
2014,Femei,86.0
2014,Bărbați,101.0
2015,,95.0
2015,Femei,91.0
2015,Bărbați,99.0
2016,,93.0
2016,Femei,89.0
2016,Bărbați,97.0
2017,,94.0
2017,Femei,89.0
2017,Bărbați,99.0
2018,,92.0
2018,Femei,87.0
2018,Bărbați,98.0
2019,,84.0
2019,Femei,78.0
2019,Bărbați,90.0
2020,,78.0
2020,Femei,75.0
2020,Bărbați,81.0
2021,,79.0
2021,Femei,77.0
2021,Bărbați,81.0
2022,,
2022,Femei,
2022,Bărbați,
