Year,Proporția femeilor judecători față de proporția femeilor în populația în vârstă aptă de muncă,Proporția femeilor grefieri și asistenți judiciari față de proporția femeilor în populația în vârstă aptă de muncă,Proporția tinerilor judecători în vârstă de 44 ani și mai puțin față de proporția populației în vârstă aptă de muncă peste vârsta eligibilă pentru un grefier și asistent judiciar și mai puțin de 45 ani,Proporția tinerilor grefieri și asistenți judiciari în vârstă de 44 ani și mai puțin față de proporția populației în vârstă aptă de muncă peste vârsta eligibilă pentru un grefier și asistent judiciar și mai puțin de 45 ani,Proporția judecătorilor cu dizabilitate față de proporția persoanelor cu dizabilități în populația în vârstă aptă de muncă,Proporția grefierilor și asistenților judiciari cu dizabilitate față de proporția persoanelor cu dizabilități în populația în vârstă aptă de muncă,Value
2015,,,Total (toate nivelurile de instanțe),,,,
2015,,,,Constituțională/ Curtea Supremă,,,
2015,,,,Curtea de Apel,,,
2015,,,,Judecătorii,,,
2015,,,,Total (toate nivelurile de instanțe),,,
2015,,,,,Constituțională/ Curtea Supremă,,
2015,,,,,Curtea de Apel,,
2015,,,,,Judecătorii,,
2015,,,,,Total (toate nivelurile de instanțe),,
2015,,,,,,Constituțională/ Curtea Supremă,
2015,,,,,,Curtea de Apel,
2015,,,,,,Judecătorii,
2015,,,,,,Total (toate nivelurile de instanțe),
2016,,,,,,,
2016,Constituțională/ Curtea Supremă,,,,,,
2016,Curtea de Apel,,,,,,
2016,Judecătorii,,,,,,
2016,Total (toate nivelurile de instanțe),,,,,,
2016,,Constituțională/ Curtea Supremă,,,,,
2016,,Curtea de Apel,,,,,
2016,,Judecătorii,,,,,
2016,,Total (toate nivelurile de instanțe),,,,,
2016,,,Constituțională/ Curtea Supremă,,,,
2016,,,Curtea de Apel,,,,
2016,,,Judecătorii,,,,
2016,,,Total (toate nivelurile de instanțe),,,,
2016,,,,Constituțională/ Curtea Supremă,,,
2016,,,,Curtea de Apel,,,
2016,,,,Judecătorii,,,
2016,,,,Total (toate nivelurile de instanțe),,,
2016,,,,,Constituțională/ Curtea Supremă,,
2016,,,,,Curtea de Apel,,
2016,,,,,Judecătorii,,
2016,,,,,Total (toate nivelurile de instanțe),,
2016,,,,,,Constituțională/ Curtea Supremă,
2016,,,,,,Curtea de Apel,
2016,,,,,,Judecătorii,
2016,,,,,,Total (toate nivelurile de instanțe),
2017,,,,,,,
2017,Constituțională/ Curtea Supremă,,,,,,
2017,Curtea de Apel,,,,,,
2017,Judecătorii,,,,,,
2017,Total (toate nivelurile de instanțe),,,,,,
2017,,Constituțională/ Curtea Supremă,,,,,
2017,,Curtea de Apel,,,,,
2017,,Judecătorii,,,,,
2017,,Total (toate nivelurile de instanțe),,,,,
2017,,,Constituțională/ Curtea Supremă,,,,
2017,,,Curtea de Apel,,,,
2017,,,Judecătorii,,,,
2017,,,Total (toate nivelurile de instanțe),,,,
2017,,,,Constituțională/ Curtea Supremă,,,
2017,,,,Curtea de Apel,,,
2017,,,,Judecătorii,,,
2017,,,,Total (toate nivelurile de instanțe),,,
2017,,,,,Constituțională/ Curtea Supremă,,
2017,,,,,Curtea de Apel,,
2017,,,,,Judecătorii,,
2017,,,,,Total (toate nivelurile de instanțe),,
2017,,,,,,Constituțională/ Curtea Supremă,
2017,,,,,,Curtea de Apel,
2017,,,,,,Judecătorii,
2017,,,,,,Total (toate nivelurile de instanțe),
2018,,,,,,,
2018,Constituțională/ Curtea Supremă,,,,,,
2018,Curtea de Apel,,,,,,
2018,Judecătorii,,,,,,
2018,Total (toate nivelurile de instanțe),,,,,,
2018,,Constituțională/ Curtea Supremă,,,,,
2018,,Curtea de Apel,,,,,
2018,,Judecătorii,,,,,
2018,,Total (toate nivelurile de instanțe),,,,,
2018,,,Constituțională/ Curtea Supremă,,,,
2018,,,Curtea de Apel,,,,
2018,,,Judecătorii,,,,
2018,,,Total (toate nivelurile de instanțe),,,,
2018,,,,Constituțională/ Curtea Supremă,,,
2018,,,,Curtea de Apel,,,
2018,,,,Judecătorii,,,
2018,,,,Total (toate nivelurile de instanțe),,,
2018,,,,,Constituțională/ Curtea Supremă,,
2018,,,,,Curtea de Apel,,
2018,,,,,Judecătorii,,
2018,,,,,Total (toate nivelurile de instanțe),,
2018,,,,,,Constituțională/ Curtea Supremă,
2018,,,,,,Curtea de Apel,
2018,,,,,,Judecătorii,
2018,,,,,,Total (toate nivelurile de instanțe),
2019,,,,,,,
2019,Constituțională/ Curtea Supremă,,,,,,0.96
2019,Curtea de Apel,,,,,,0.87
2019,Judecătorii,,,,,,1.02
2019,Total (toate nivelurile de instanțe),,,,,,0.99
2019,,Constituțională/ Curtea Supremă,,,,,1.54
2019,,Curtea de Apel,,,,,1.4
2019,,Judecătorii,,,,,1.65
2019,,Total (toate nivelurile de instanțe),,,,,1.59
2019,,,Constituțională/ Curtea Supremă,,,,0.0
2019,,,Curtea de Apel,,,,0.25
2019,,,Judecătorii,,,,1.29
2019,,,Total (toate nivelurile de instanțe),,,,1.02
2019,,,,Constituțională/ Curtea Supremă,,,1.81
2019,,,,Curtea de Apel,,,2.04
2019,,,,Judecătorii,,,1.91
2019,,,,Total (toate nivelurile de instanțe),,,1.93
2019,,,,,Constituțională/ Curtea Supremă,,0.0
2019,,,,,Curtea de Apel,,0.0
2019,,,,,Judecătorii,,0.05
2019,,,,,Total (toate nivelurile de instanțe),,0.05
2019,,,,,,Constituțională/ Curtea Supremă,0.0
2019,,,,,,Curtea de Apel,0.1
2019,,,,,,Judecătorii,0.05
2019,,,,,,Total (toate nivelurile de instanțe),0.06
2020,,,,,,,
2020,Constituțională/ Curtea Supremă,,,,,,1.0
2020,Curtea de Apel,,,,,,0.89
2020,Judecătorii,,,,,,1.02
2020,Total (toate nivelurile de instanțe),,,,,,0.99
2020,,Constituțională/ Curtea Supremă,,,,,1.47
2020,,Curtea de Apel,,,,,1.4
2020,,Judecătorii,,,,,1.68
2020,,Total (toate nivelurile de instanțe),,,,,1.61
2020,,,Constituțională/ Curtea Supremă,,,,0.0
2020,,,Curtea de Apel,,,,0.28
2020,,,Judecătorii,,,,1.48
2020,,,Total (toate nivelurile de instanțe),,,,1.17
2020,,,,Constituțională/ Curtea Supremă,,,2.07
2020,,,,Curtea de Apel,,,2.07
2020,,,,Judecătorii,,,2.02
2020,,,,Total (toate nivelurile de instanțe),,,2.03
2020,,,,,Constituțională/ Curtea Supremă,,0.0
2020,,,,,Curtea de Apel,,0.0
2020,,,,,Judecătorii,,0.05
2020,,,,,Total (toate nivelurile de instanțe),,0.04
2020,,,,,,Constituțională/ Curtea Supremă,0.0
2020,,,,,,Curtea de Apel,0.05
2020,,,,,,Judecătorii,0.03
2020,,,,,,Total (toate nivelurile de instanțe),0.03
2021,,,,,,,
2021,Constituțională/ Curtea Supremă,,,,,,1.05
2021,Curtea de Apel,,,,,,0.84
2021,Judecătorii,,,,,,0.98
2021,Total (toate nivelurile de instanțe),,,,,,0.96
2021,,Constituțională/ Curtea Supremă,,,,,1.38
2021,,Curtea de Apel,,,,,1.4
2021,,Judecătorii,,,,,1.71
2021,,Total (toate nivelurile de instanțe),,,,,1.62
2021,,,Constituțională/ Curtea Supremă,,,,0.0
2021,,,Curtea de Apel,,,,0.7
2021,,,Judecătorii,,,,1.25
2021,,,Total (toate nivelurile de instanțe),,,,1.08
2021,,,,Constituțională/ Curtea Supremă,,,2.02
2021,,,,Curtea de Apel,,,2.05
2021,,,,Judecătorii,,,2.0
2021,,,,Total (toate nivelurile de instanțe),,,2.01
2021,,,,,Constituțională/ Curtea Supremă,,0.0
2021,,,,,Curtea de Apel,,0.0
2021,,,,,Judecătorii,,0.06
2021,,,,,Total (toate nivelurile de instanțe),,0.04
2021,,,,,,Constituțională/ Curtea Supremă,0.0
2021,,,,,,Curtea de Apel,0.05
2021,,,,,,Judecătorii,0.03
2021,,,,,,Total (toate nivelurile de instanțe),0.03
2022,,,,,,,
2022,Constituțională/ Curtea Supremă,,,,,,0.96
2022,Curtea de Apel,,,,,,0.84
2022,Judecătorii,,,,,,1.07
2022,Total (toate nivelurile de instanțe),,,,,,1.02
2022,,Constituțională/ Curtea Supremă,,,,,1.38
2022,,Curtea de Apel,,,,,1.4
2022,,Judecătorii,,,,,1.71
2022,,Total (toate nivelurile de instanțe),,,,,1.62
2022,,,Constituțională/ Curtea Supremă,,,,0.0
2022,,,Curtea de Apel,,,,0.63
2022,,,Judecătorii,,,,1.19
2022,,,Total (toate nivelurile de instanțe),,,,1.03
2022,,,,Constituțională/ Curtea Supremă,,,2.02
2022,,,,Curtea de Apel,,,2.05
2022,,,,Judecătorii,,,2.0
2022,,,,Total (toate nivelurile de instanțe),,,2.01
2022,,,,,Constituțională/ Curtea Supremă,,0.0
2022,,,,,Curtea de Apel,,0.0
2022,,,,,Judecătorii,,0.09
2022,,,,,Total (toate nivelurile de instanțe),,0.07
2022,,,,,,Constituțională/ Curtea Supremă,0.0
2022,,,,,,Curtea de Apel,0.06
2022,,,,,,Judecătorii,0.05
2022,,,,,,Total (toate nivelurile de instanțe),0.04
2023,,,,,,,
2023,Constituțională/ Curtea Supremă,,,,,,0.91
2023,Curtea de Apel,,,,,,0.91
2023,Judecătorii,,,,,,1.05
2023,Total (toate nivelurile de instanțe),,,,,,1.02
2023,,Constituțională/ Curtea Supremă,,,,,1.58
2023,,Curtea de Apel,,,,,1.64
2023,,Judecătorii,,,,,1.75
2023,,Total (toate nivelurile de instanțe),,,,,1.71
2023,,,Constituțională/ Curtea Supremă,,,,0.0
2023,,,Curtea de Apel,,,,0.7
2023,,,Judecătorii,,,,1.27
2023,,,Total (toate nivelurile de instanțe),,,,1.14
