Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,3.4
2014,Men,5.0
2014,Women,1.9
2015,,3.1
2015,Men,4.3
2015,Women,2.0
2016,,3.2
2016,Men,3.8
2016,Women,2.7
2017,,2.9
2017,Men,4.5
2017,Women,1.4
2018,,3.6
2018,Men,4.5
2018,Women,2.8
2019,,3.5
2019,Men,3.5
2019,Women,3.4
2020,,4.2
2020,Men,5.4
2020,Women,3.1
2021,,3.9
2021,Men,4.9
2021,Women,3.0
2022,,
2022,Men,
2022,Women,
