Year,Tipuri de resurse,Value
2010,,
2010,Biomasă,
2010,Cărbune,
2010,Resturi de culturi agricole (reziduuri vegetale),
2010,Culturi agricole,
2010,Ferrous ores,
2010,Combustibili fosili,
2010,Gaze naturale,
2010,Biomasă pășunată și culturi furajere,
2010,Minereuri metalice,
2010,Minereuri neferoase,
2010,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,
2010,Minerale nemetalice – cu utilizare în construcții dominantă,
2010,Minerale nemetalice,
2010,Petrol brut,
2010,Capturi și produse din recoltă sălbatică,
2010,Lemn,
2011,,
2011,Biomasă,
2011,Cărbune,
2011,Resturi de culturi agricole (reziduuri vegetale),
2011,Culturi agricole,
2011,Ferrous ores,
2011,Combustibili fosili,
2011,Gaze naturale,
2011,Biomasă pășunată și culturi furajere,
2011,Minereuri metalice,
2011,Minereuri neferoase,
2011,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,
2011,Minerale nemetalice – cu utilizare în construcții dominantă,
2011,Minerale nemetalice,
2011,Petrol brut,
2011,Capturi și produse din recoltă sălbatică,
2011,Lemn,
2012,,
2012,Biomasă,
2012,Cărbune,
2012,Resturi de culturi agricole (reziduuri vegetale),
2012,Culturi agricole,
2012,Ferrous ores,
2012,Combustibili fosili,
2012,Gaze naturale,
2012,Biomasă pășunată și culturi furajere,
2012,Minereuri metalice,
2012,Minereuri neferoase,
2012,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,
2012,Minerale nemetalice – cu utilizare în construcții dominantă,
2012,Minerale nemetalice,
2012,Petrol brut,
2012,Capturi și produse din recoltă sălbatică,
2012,Lemn,
2013,,
2013,Biomasă,
2013,Cărbune,
2013,Resturi de culturi agricole (reziduuri vegetale),
2013,Culturi agricole,
2013,Ferrous ores,
2013,Combustibili fosili,
2013,Gaze naturale,
2013,Biomasă pășunată și culturi furajere,
2013,Minereuri metalice,
2013,Minereuri neferoase,
2013,Minerale nemetalice – cu utilizare industrială/agricolă dominantă,
