Year,Sex,Mediu de reședință,Quintiles,Nivelul de educație al mamei,Etnia mamei,Value
2017,,,IV,,,
2017,,,V,,,
2017,,,,Secundare,,
2017,,,,Profesional,,
2017,,,,Superior,,
2017,,,,,Moldovean/Român,
2017,,,,,Rus,
2017,,,,,Ukrainian,
2017,,,,,Roma (Gypsy),
2017,,,,,Găgăuz,
2017,,,,,Altă etnie,
2018,,,,,,5.2
2018,Male,,,,,5.5
2018,Female,,,,,4.9
2018,,Urban,,,,
2018,,Rural,,,,
2018,,,I,,,
2018,,,II,,,
2018,,,III,,,
2018,,,IV,,,
2018,,,V,,,
2018,,,,Secundare,,
2018,,,,Profesional,,
2018,,,,Superior,,
2018,,,,,Moldovean/Român,
2018,,,,,Rus,
2018,,,,,Ukrainian,
2018,,,,,Roma (Gypsy),
2018,,,,,Găgăuz,
2018,,,,,Altă etnie,
2019,,,,,,4.9
2019,Male,,,,,5.2
2019,Female,,,,,4.6
2019,,Urban,,,,
2019,,Rural,,,,
2019,,,I,,,
2019,,,II,,,
2019,,,III,,,
2019,,,IV,,,
2019,,,V,,,
2019,,,,Secundare,,
2019,,,,Profesional,,
2019,,,,Superior,,
2019,,,,,Moldovean/Român,
2019,,,,,Rus,
2019,,,,,Ukrainian,
2019,,,,,Roma (Gypsy),
2019,,,,,Găgăuz,
2019,,,,,Altă etnie,
2020,,,,,,4.7
2020,Male,,,,,5.0
2020,Female,,,,,4.4
2020,,Urban,,,,
2020,,Rural,,,,
2020,,,I,,,
2020,,,II,,,
2020,,,III,,,
2020,,,IV,,,
2020,,,V,,,
2020,,,,Secundare,,
2020,,,,Profesional,,
2020,,,,Superior,,
2020,,,,,Moldovean/Român,
2020,,,,,Rus,
2020,,,,,Ukrainian,
2020,,,,,Roma (Gypsy),
2020,,,,,Găgăuz,
2020,,,,,Altă etnie,
2021,,,,,,4.5
2021,Male,,,,,4.8
2021,Female,,,,,4.2
2021,,Urban,,,,
2021,,Rural,,,,
2021,,,I,,,
2021,,,II,,,
2021,,,III,,,
2021,,,IV,,,
2021,,,V,,,
2021,,,,Secundare,,
2021,,,,Profesional,,
2021,,,,Superior,,
2021,,,,,Moldovean/Român,
2021,,,,,Rus,
2021,,,,,Ukrainian,
2021,,,,,Roma (Gypsy),
2021,,,,,Găgăuz,
2021,,,,,Altă etnie,
2022,,,,,,4.4
2022,Male,,,,,4.7
2022,Female,,,,,4.1
2022,,Urban,,,,
2022,,Rural,,,,
2022,,,I,,,
2022,,,II,,,
2022,,,III,,,
2022,,,IV,,,
2022,,,V,,,
2022,,,,Secundare,,
2022,,,,Profesional,,
2022,,,,Superior,,
2022,,,,,Moldovean/Român,
2022,,,,,Rus,
2022,,,,,Ukrainian,
2022,,,,,Roma (Gypsy),
2022,,,,,Găgăuz,
2022,,,,,Altă etnie,
2023,,,,,,4.2
2023,Male,,,,,4.5
2023,Female,,,,,4.0
2023,,Urban,,,,
2023,,Rural,,,,
2023,,,I,,,
2023,,,II,,,
2023,,,III,,,
2023,,,IV,,,
2023,,,V,,,
2023,,,,Secundare,,
2023,,,,Profesional,,
2023,,,,Superior,,
2023,,,,,Moldovean/Român,
2023,,,,,Rus,
2023,,,,,Ukrainian,
2023,,,,,Roma (Gypsy),
2023,,,,,Găgăuz,
2023,,,,,Altă etnie,
2024,,,,,,4.2
2024,Male,,,,,4.5
2024,Female,,,,,3.9
2024,,Urban,,,,
2024,,Rural,,,,
2024,,,I,,,
2024,,,II,,,
2024,,,III,,,
2024,,,IV,,,
2024,,,V,,,
2024,,,,Secundare,,
2024,,,,Profesional,,
2024,,,,Superior,,
2024,,,,,Moldovean/Român,
2024,,,,,Rus,
2024,,,,,Ukrainian,
2024,,,,,Roma (Gypsy),
2024,,,,,Găgăuz,
2024,,,,,Altă etnie,
