Year,Componente,Value
2022,12. Confidențialitate HIV,
2022,13. Vaccin HPV,
2023,,
2023,1. Îngrijire maternă,
2023,2. Produse care salvează vieți,
2023,3. Avort,
2023,4. Îngrijire post-avort,
2023,5. Servicii contraceptive,
2023,6. Consimțământ contraceptiv,
2023,7. Contracepție de urgență,
2023,8. Legislație privind curriculumul de educație sexuală,
2023,9. Subiecte din curriculumul de educație sexuală,
2023,10. Servicii de consiliere și testare HIV,
2023,11. Servicii de tratament și îngrijire HIV,
2023,12. Confidențialitate HIV,
2023,13. Vaccin HPV,
2024,,
2024,1. Îngrijire maternă,
2024,2. Produse care salvează vieți,
2024,3. Avort,
2024,4. Îngrijire post-avort,
2024,5. Servicii contraceptive,
2024,6. Consimțământ contraceptiv,
2024,7. Contracepție de urgență,
2024,8. Legislație privind curriculumul de educație sexuală,
2024,9. Subiecte din curriculumul de educație sexuală,
2024,10. Servicii de consiliere și testare HIV,
2024,11. Servicii de tratament și îngrijire HIV,
2024,12. Confidențialitate HIV,
2024,13. Vaccin HPV,
