Year,Clase Situații excepționale,Grupa de vârstă,Sex,Raioane,Value
2014,,,,Șoldănești,0.0
2014,,,,Telenești,0.0
2014,,,,Ungheni,0.0
2014,,,,Sud,0.0
2014,,,,Basarabeasca,0.0
2014,,,,Cahul,0.0
2014,,,,Cantemir,0.0
2014,,,,Căușeni,0.0
2014,,,,Cimișlia,0.0
2014,,,,Leova,0.0
2014,,,,Ștefan Vodă,0.0
2014,,,,Taraclia,0.0
2014,,,,UTA Găgăuzia,0.0
2015,,,,,0.0
2015,Tehnogen,,,,0.0
2015,Natural (pe genuri),,,,0.0
2015,Biologico-social,,,,0.0
2015,Incendii,,,,0.0
2015,,0-17 ani,,,0.0
2015,,18 ani și peste,,,0.0
2015,,,Bărbați,,0.0
2015,,,Femei,,0.0
2015,,,,Mun. Chișinău,0.0
2015,,,,Nord,0.0
2015,,,,mun. Bălți,0.0
2015,,,,Briceni,0.0
2015,,,,Dondușeni,0.0
2015,,,,Drochia,0.0
2015,,,,Edineț,0.0
2015,,,,Fălești,0.0
2015,,,,Florești,0.0
2015,,,,Glodeni,0.0
2015,,,,Ocnița,0.0
2015,,,,Râșcani,0.0
2015,,,,Sângerei,0.0
2015,,,,Soroca,0.0
2015,,,,Centru,0.0
2015,,,,Anenii Noi,0.0
2015,,,,Călărași,0.0
2015,,,,Criuleni,0.0
2015,,,,Dubăsari,0.0
2015,,,,Hâncești,0.0
2015,,,,Ialoveni,0.0
2015,,,,Nisporeni,0.0
2015,,,,Orhei,0.0
2015,,,,Rezina,0.0
2015,,,,Strășeni,0.0
2015,,,,Șoldănești,0.0
2015,,,,Telenești,0.0
2015,,,,Ungheni,0.0
2015,,,,Sud,0.0
2015,,,,Basarabeasca,0.0
2015,,,,Cahul,0.0
2015,,,,Cantemir,0.0
2015,,,,Căușeni,0.0
2015,,,,Cimișlia,0.0
2015,,,,Leova,0.0
2015,,,,Ștefan Vodă,0.0
2015,,,,Taraclia,0.0
2015,,,,UTA Găgăuzia,0.0
2016,,,,,0.0
2016,Tehnogen,,,,0.0
2016,Natural (pe genuri),,,,0.0
2016,Biologico-social,,,,0.0
2016,Incendii,,,,0.0
2016,,0-17 ani,,,0.0
2016,,18 ani și peste,,,0.0
2016,,,Bărbați,,0.0
2016,,,Femei,,0.0
2016,,,,Mun. Chișinău,0.0
2016,,,,Nord,0.0
2016,,,,mun. Bălți,0.0
2016,,,,Briceni,0.0
2016,,,,Dondușeni,0.0
2016,,,,Drochia,0.0
2016,,,,Edineț,0.0
2016,,,,Fălești,0.0
2016,,,,Florești,0.0
2016,,,,Glodeni,0.0
2016,,,,Ocnița,0.0
2016,,,,Râșcani,0.0
2016,,,,Sângerei,0.0
2016,,,,Soroca,0.0
2016,,,,Centru,0.0
2016,,,,Anenii Noi,0.0
2016,,,,Călărași,0.0
2016,,,,Criuleni,0.0
2016,,,,Dubăsari,0.0
2016,,,,Hâncești,0.0
2016,,,,Ialoveni,0.0
2016,,,,Nisporeni,0.0
2016,,,,Orhei,0.0
2016,,,,Rezina,0.0
2016,,,,Strășeni,0.0
2016,,,,Șoldănești,0.0
2016,,,,Telenești,0.0
2016,,,,Ungheni,0.0
2016,,,,Sud,0.0
2016,,,,Basarabeasca,0.0
2016,,,,Cahul,0.0
2016,,,,Cantemir,0.0
2016,,,,Căușeni,0.0
2016,,,,Cimișlia,0.0
2016,,,,Leova,0.0
2016,,,,Ștefan Vodă,0.0
2016,,,,Taraclia,0.0
2016,,,,UTA Găgăuzia,0.0
2017,,,,,0.0
2017,Tehnogen,,,,0.0
2017,Natural (pe genuri),,,,0.0
2017,Biologico-social,,,,0.0
2017,Incendii,,,,0.0
2017,,0-17 ani,,,0.0
2017,,18 ani și peste,,,0.0
2017,,,Bărbați,,0.0
2017,,,Femei,,0.0
2017,,,,Mun. Chișinău,0.0
2017,,,,Nord,0.0
2017,,,,mun. Bălți,0.0
2017,,,,Briceni,0.0
2017,,,,Dondușeni,0.0
2017,,,,Drochia,0.0
2017,,,,Edineț,0.0
2017,,,,Fălești,0.0
2017,,,,Florești,0.0
2017,,,,Glodeni,0.0
2017,,,,Ocnița,0.0
2017,,,,Râșcani,0.0
2017,,,,Sângerei,0.0
2017,,,,Soroca,0.0
2017,,,,Centru,0.0
2017,,,,Anenii Noi,0.0
2017,,,,Călărași,0.0
2017,,,,Criuleni,0.0
2017,,,,Dubăsari,0.0
2017,,,,Hâncești,0.0
2017,,,,Ialoveni,0.0
2017,,,,Nisporeni,0.0
2017,,,,Orhei,0.0
2017,,,,Rezina,0.0
2017,,,,Strășeni,0.0
2017,,,,Șoldănești,0.0
2017,,,,Telenești,0.0
2017,,,,Ungheni,0.0
2017,,,,Sud,0.0
2017,,,,Basarabeasca,0.0
2017,,,,Cahul,0.0
2017,,,,Cantemir,0.0
2017,,,,Căușeni,0.0
2017,,,,Cimișlia,0.0
2017,,,,Leova,0.0
2017,,,,Ștefan Vodă,0.0
2017,,,,Taraclia,0.0
2017,,,,UTA Găgăuzia,0.0
2018,,,,,0.0
2018,Tehnogen,,,,0.0
2018,Natural (pe genuri),,,,0.0
2018,Biologico-social,,,,0.0
2018,Incendii,,,,0.0
2018,,0-17 ani,,,0.0
2018,,18 ani și peste,,,0.0
2018,,,Bărbați,,0.0
2018,,,Femei,,0.0
2018,,,,Mun. Chișinău,0.0
2018,,,,Nord,0.0
2018,,,,mun. Bălți,0.0
2018,,,,Briceni,0.0
2018,,,,Dondușeni,0.0
2018,,,,Drochia,0.0
2018,,,,Edineț,0.0
2018,,,,Fălești,0.0
2018,,,,Florești,0.0
2018,,,,Glodeni,0.0
2018,,,,Ocnița,0.0
2018,,,,Râșcani,0.0
2018,,,,Sângerei,0.0
2018,,,,Soroca,0.0
2018,,,,Centru,0.0
2018,,,,Anenii Noi,0.0
2018,,,,Călărași,0.0
2018,,,,Criuleni,0.0
2018,,,,Dubăsari,0.0
2018,,,,Hâncești,0.0
2018,,,,Ialoveni,0.0
2018,,,,Nisporeni,0.0
2018,,,,Orhei,0.0
2018,,,,Rezina,0.0
2018,,,,Strășeni,0.0
2018,,,,Șoldănești,0.0
2018,,,,Telenești,0.0
2018,,,,Ungheni,0.0
2018,,,,Sud,0.0
2018,,,,Basarabeasca,0.0
2018,,,,Cahul,0.0
2018,,,,Cantemir,0.0
2018,,,,Căușeni,0.0
2018,,,,Cimișlia,0.0
2018,,,,Leova,0.0
2018,,,,Ștefan Vodă,0.0
2018,,,,Taraclia,0.0
2018,,,,UTA Găgăuzia,0.0
2019,,,,,0.0
2019,Tehnogen,,,,0.0
2019,Natural (pe genuri),,,,0.0
2019,Biologico-social,,,,0.0
2019,Incendii,,,,0.0
2019,,0-17 ani,,,0.0
2019,,18 ani și peste,,,0.0
2019,,,Bărbați,,0.0
2019,,,Femei,,0.0
2019,,,,Mun. Chișinău,0.0
2019,,,,Nord,0.0
2019,,,,mun. Bălți,0.0
2019,,,,Briceni,0.0
2019,,,,Dondușeni,0.0
2019,,,,Drochia,0.0
2019,,,,Edineț,0.0
2019,,,,Fălești,0.0
2019,,,,Florești,0.0
2019,,,,Glodeni,0.0
2019,,,,Ocnița,0.0
2019,,,,Râșcani,0.0
2019,,,,Sângerei,0.0
2019,,,,Soroca,0.0
2019,,,,Centru,0.0
2019,,,,Anenii Noi,0.0
2019,,,,Călărași,0.0
2019,,,,Criuleni,0.0
