Year,Mediu de reședință,Regiuni,Viteze,Value
2020,,,Peste 100 Mbps,6.34
2020,,,≤30 Mbps,
2020,,,între 30 Mbps şi 100 Mbps,14.5
2020,,,între 100 Mbps şi 500 Mbps,
2020,,,între 500 Mbps şi 1 Gbps,
2020,,,între 1 Gbps și 5 Gbps,
2020,,,above 5 Gbps ,
2021,,,,29.02
2021,Urban,,,40.06
2021,Rural,,,21.1
2021,,Mun. Chișinău,,42.91
2021,,Nord,,24.25
2021,,Centru,,24.5
2021,,Sud,,24.39
2021,,UTA Găgăuzia,,22.64
2021,,,Sub 2 mbps,0.32
2021,,,2-10 mbps,0.23
2021,,,10-30 mbps,4.55
2021,,,Peste 100 Mbps,9.62
2021,,,≤30 Mbps,
2021,,,între 30 Mbps şi 100 Mbps,14.3
2021,,,între 100 Mbps şi 500 Mbps,
2021,,,între 500 Mbps şi 1 Gbps,
2021,,,între 1 Gbps și 5 Gbps,
2021,,,above 5 Gbps ,
2022,,,,30.9
2022,Urban,,,41.4
2022,Rural,,,23.1
2022,,Mun. Chișinău,,44.6
2022,,Nord,,26.0
2022,,Centru,,26.4
2022,,Sud,,19.2
2022,,UTA Găgăuzia,,24.0
2022,,,Sub 2 mbps,0.2
2022,,,2-10 mbps,0.2
2022,,,10-30 mbps,4.0
2022,,,Peste 100 Mbps,12.8
2022,,,≤30 Mbps,
2022,,,între 30 Mbps şi 100 Mbps,13.7
2022,,,între 100 Mbps şi 500 Mbps,
2022,,,între 500 Mbps şi 1 Gbps,
2022,,,între 1 Gbps și 5 Gbps,
2022,,,above 5 Gbps ,
2023,,,,33.6
2023,Urban,,,44.2
2023,Rural,,,25.6
2023,,Mun. Chișinău,,47.0
2023,,Nord,,29.1
2023,,Centru,,29.0
2023,,Sud,,28.5
2023,,UTA Găgăuzia,,25.4
2023,,,Sub 2 mbps,0.2
2023,,,2-10 mbps,0.2
2023,,,10-30 mbps,3.7
2023,,,Peste 100 Mbps,17.3
2023,,,≤30 Mbps,
2023,,,între 30 Mbps şi 100 Mbps,12.3
2023,,,între 100 Mbps şi 500 Mbps,
2023,,,între 500 Mbps şi 1 Gbps,
2023,,,între 1 Gbps și 5 Gbps,
2023,,,above 5 Gbps ,
2024,,,,37.1
2024,Urban,,,47.9
2024,Rural,,,28.8
2024,,Mun. Chișinău,,50.2
2024,,Nord,,32.8
2024,,Centru,,32.5
2024,,Sud,,31.6
2024,,UTA Găgăuzia,,28.1
2024,,,Sub 2 mbps,0.1
2024,,,2-10 mbps,0.2
2024,,,10-30 mbps,3.5
2024,,,Peste 100 Mbps,22.6
2024,,,≤30 Mbps,
2024,,,între 30 Mbps şi 100 Mbps,10.7
2024,,,între 100 Mbps şi 500 Mbps,
2024,,,între 500 Mbps şi 1 Gbps,
2024,,,între 1 Gbps și 5 Gbps,
2024,,,above 5 Gbps ,
2025,,,,40.4
2025,Urban,,,52.4
2025,Rural,,,31.1
2025,,Mun. Chișinău,,53.9
2025,,Nord,,36.1
2025,,Centru,,35.3
2025,,Sud,,34.6
2025,,UTA Găgăuzia,,31.2
2025,,,Sub 2 mbps,
2025,,,2-10 mbps,
2025,,,10-30 mbps,
2025,,,Peste 100 Mbps,
2025,,,≤30 Mbps,2.6
2025,,,între 30 Mbps şi 100 Mbps,8.3
2025,,,între 100 Mbps şi 500 Mbps,18.3
2025,,,între 500 Mbps şi 1 Gbps,9.9
2025,,,între 1 Gbps și 5 Gbps,1.2
2025,,,above 5 Gbps ,0.01
