Year,Biocombustibili și deșeuri,Produse petroliere,Cărbune,Gaze naturale,Energie termică,Energie electrică,Value
2015,,Încălzirea apei,,,,,26.1
2015,,Pregătirea alimentelor,,,,,73.9
2015,,,Incălzirea spațiilor,,,,83.8
2015,,,Răcirea spațiilor,,,,0.0
2015,,,Încălzirea apei,,,,16.0
2015,,,Pregătirea alimentelor,,,,0.1
2015,,,,Incălzirea spațiilor,,,58.1
2015,,,,Răcirea spațiilor,,,0.0
2015,,,,Încălzirea apei,,,9.1
2015,,,,Pregătirea alimentelor,,,32.8
2015,,,,,Incălzirea spațiilor,,87.2
2015,,,,,Răcirea spațiilor,,0.0
2015,,,,,Încălzirea apei,,12.8
2015,,,,,Pregătirea alimentelor,,0.0
2015,,,,,,Incălzirea spațiilor,3.1
2015,,,,,,Răcirea spațiilor,0.5
2015,,,,,,Încălzirea apei,8.7
2015,,,,,,Pregătirea alimentelor,12.9
2015,,,,,,Iluminat și utilizarea aparatelor electrice,74.7
2016,Incălzirea spațiilor,,,,,,
2016,Răcirea spațiilor,,,,,,
2016,Încălzirea apei,,,,,,
2016,Pregătirea alimentelor,,,,,,
2016,,Incălzirea spațiilor,,,,,
2016,,Răcirea spațiilor,,,,,
2016,,Încălzirea apei,,,,,
2016,,Pregătirea alimentelor,,,,,
2016,,,Incălzirea spațiilor,,,,
2016,,,Răcirea spațiilor,,,,
2016,,,Încălzirea apei,,,,
2016,,,Pregătirea alimentelor,,,,
2016,,,,Incălzirea spațiilor,,,
2016,,,,Răcirea spațiilor,,,
2016,,,,Încălzirea apei,,,
2016,,,,Pregătirea alimentelor,,,
2016,,,,,Incălzirea spațiilor,,
2016,,,,,Răcirea spațiilor,,
2016,,,,,Încălzirea apei,,
2016,,,,,Pregătirea alimentelor,,
2016,,,,,,Incălzirea spațiilor,
2016,,,,,,Răcirea spațiilor,
2016,,,,,,Încălzirea apei,
2016,,,,,,Pregătirea alimentelor,
2016,,,,,,Iluminat și utilizarea aparatelor electrice,
2017,Incălzirea spațiilor,,,,,,
2017,Răcirea spațiilor,,,,,,
2017,Încălzirea apei,,,,,,
2017,Pregătirea alimentelor,,,,,,
2017,,Incălzirea spațiilor,,,,,
2017,,Răcirea spațiilor,,,,,
2017,,Încălzirea apei,,,,,
2017,,Pregătirea alimentelor,,,,,
2017,,,Incălzirea spațiilor,,,,
2017,,,Răcirea spațiilor,,,,
2017,,,Încălzirea apei,,,,
2017,,,Pregătirea alimentelor,,,,
2017,,,,Incălzirea spațiilor,,,
2017,,,,Răcirea spațiilor,,,
2017,,,,Încălzirea apei,,,
2017,,,,Pregătirea alimentelor,,,
2017,,,,,Incălzirea spațiilor,,
2017,,,,,Răcirea spațiilor,,
2017,,,,,Încălzirea apei,,
2017,,,,,Pregătirea alimentelor,,
2017,,,,,,Incălzirea spațiilor,
2017,,,,,,Răcirea spațiilor,
2017,,,,,,Încălzirea apei,
2017,,,,,,Pregătirea alimentelor,
2017,,,,,,Iluminat și utilizarea aparatelor electrice,
2018,Incălzirea spațiilor,,,,,,
2018,Răcirea spațiilor,,,,,,
2018,Încălzirea apei,,,,,,
2018,Pregătirea alimentelor,,,,,,
2018,,Incălzirea spațiilor,,,,,
2018,,Răcirea spațiilor,,,,,
2018,,Încălzirea apei,,,,,
2018,,Pregătirea alimentelor,,,,,
2018,,,Incălzirea spațiilor,,,,
2018,,,Răcirea spațiilor,,,,
2018,,,Încălzirea apei,,,,
2018,,,Pregătirea alimentelor,,,,
2018,,,,Incălzirea spațiilor,,,
2018,,,,Răcirea spațiilor,,,
2018,,,,Încălzirea apei,,,
2018,,,,Pregătirea alimentelor,,,
2018,,,,,Incălzirea spațiilor,,
2018,,,,,Răcirea spațiilor,,
2018,,,,,Încălzirea apei,,
2018,,,,,Pregătirea alimentelor,,
2018,,,,,,Incălzirea spațiilor,
2018,,,,,,Răcirea spațiilor,
2018,,,,,,Încălzirea apei,
2018,,,,,,Pregătirea alimentelor,
2018,,,,,,Iluminat și utilizarea aparatelor electrice,
2019,Incălzirea spațiilor,,,,,,
2019,Răcirea spațiilor,,,,,,
2019,Încălzirea apei,,,,,,
2019,Pregătirea alimentelor,,,,,,
2019,,Incălzirea spațiilor,,,,,
2019,,Răcirea spațiilor,,,,,
2019,,Încălzirea apei,,,,,
2019,,Pregătirea alimentelor,,,,,
2019,,,Incălzirea spațiilor,,,,
2019,,,Răcirea spațiilor,,,,
2019,,,Încălzirea apei,,,,
2019,,,Pregătirea alimentelor,,,,
2019,,,,Incălzirea spațiilor,,,
2019,,,,Răcirea spațiilor,,,
2019,,,,Încălzirea apei,,,
2019,,,,Pregătirea alimentelor,,,
2019,,,,,Incălzirea spațiilor,,
2019,,,,,Răcirea spațiilor,,
2019,,,,,Încălzirea apei,,
2019,,,,,Pregătirea alimentelor,,
2019,,,,,,Incălzirea spațiilor,
2019,,,,,,Răcirea spațiilor,
2019,,,,,,Încălzirea apei,
2019,,,,,,Pregătirea alimentelor,
2019,,,,,,Iluminat și utilizarea aparatelor electrice,
2020,Incălzirea spațiilor,,,,,,
2020,Răcirea spațiilor,,,,,,
2020,Încălzirea apei,,,,,,
2020,Pregătirea alimentelor,,,,,,
2020,,Incălzirea spațiilor,,,,,
2020,,Răcirea spațiilor,,,,,
2020,,Încălzirea apei,,,,,
2020,,Pregătirea alimentelor,,,,,
2020,,,Incălzirea spațiilor,,,,
2020,,,Răcirea spațiilor,,,,
2020,,,Încălzirea apei,,,,
2020,,,Pregătirea alimentelor,,,,
2020,,,,Incălzirea spațiilor,,,
2020,,,,Răcirea spațiilor,,,
2020,,,,Încălzirea apei,,,
2020,,,,Pregătirea alimentelor,,,
2020,,,,,Incălzirea spațiilor,,
2020,,,,,Răcirea spațiilor,,
2020,,,,,Încălzirea apei,,
2020,,,,,Pregătirea alimentelor,,
2020,,,,,,Incălzirea spațiilor,
2020,,,,,,Răcirea spațiilor,
2020,,,,,,Încălzirea apei,
2020,,,,,,Pregătirea alimentelor,
2020,,,,,,Iluminat și utilizarea aparatelor electrice,
2021,Incălzirea spațiilor,,,,,,98.8
2021,Răcirea spațiilor,,,,,,0.0
2021,Încălzirea apei,,,,,,0.6
2021,Pregătirea alimentelor,,,,,,0.6
2021,,Incălzirea spațiilor,,,,,0.5
2021,,Răcirea spațiilor,,,,,0.0
2021,,Încălzirea apei,,,,,14.2
2021,,Pregătirea alimentelor,,,,,85.3
2021,,,Incălzirea spațiilor,,,,96.1
2021,,,Răcirea spațiilor,,,,0.0
2021,,,Încălzirea apei,,,,3.9
2021,,,Pregătirea alimentelor,,,,0.0
2021,,,,Incălzirea spațiilor,,,63.9
2021,,,,Răcirea spațiilor,,,0.0
2021,,,,Încălzirea apei,,,10.3
2021,,,,Pregătirea alimentelor,,,25.8
2021,,,,,Incălzirea spațiilor,,74.9
2021,,,,,Răcirea spațiilor,,0.0
2021,,,,,Încălzirea apei,,25.1
2021,,,,,Pregătirea alimentelor,,0.0
2021,,,,,,Incălzirea spațiilor,6.0
2021,,,,,,Răcirea spațiilor,1.4
2021,,,,,,Încălzirea apei,16.4
2021,,,,,,Pregătirea alimentelor,12.6
2021,,,,,,Iluminat și utilizarea aparatelor electrice,63.5
