Year,Types of crimes,Sex,Age group,Forms of violence,Value
2021,Robbery (art. 187),,,,14.533
2021,Brigandage (art. 189),,,,1.777
2021,Blackmail (art 189),,,,2.858
2021,Domestic violence (art.2011),,,,22.619
2021,Hooliganism (art.287),,,,28.16
2021,,Men,,,115.419
2021,,Women,,,93.625
2021,,,0-17 years,,96.841
2021,,,18 years and over,,105.938
2021,,,,Psychological violence,26.51
2021,,,,Physical violence,50.396
2021,,,,Sexual violence,17.914
2022,,,,,116.56
2022,Intentional serious bodily harm (art.151),,,,4.0
2022,Kidnapping a person (art.164),,,,1.08
2022,Sexual assault (art. 171-1751),,,,19.238
2022,Robbery (art. 187),,,,14.882
2022,Brigandage (art. 189),,,,2.265
2022,Blackmail (art 189),,,,2.579
2022,Domestic violence (art.2011),,,,24.257
2022,Hooliganism (art.287),,,,32.97
2022,,Men,,,130.133
2022,,Women,,,104.499
2022,,,0-17 years,,112.087
2022,,,18 years and over,,117.773
2022,,,,Psychological violence,32.42
2022,,,,Physical violence,59.074
2022,,,,Sexual violence,19.238
2023,,,,,120.786
2023,Intentional serious bodily harm (art.151),,,,4.0
2023,Kidnapping a person (art.164),,,,0.976
2023,Sexual assault (art. 171-1751),,,,17.565
2023,Robbery (art. 187),,,,10.909
2023,Brigandage (art. 189),,,,1.952
2023,Blackmail (art 189),,,,3.485
2023,Domestic violence (art.2011),,,,28.16
2023,Hooliganism (art.287),,,,34.956
2023,,Men,,,132.272
2023,,Women,,,110.759
2023,,,0-17 years,,112.845
2023,,,18 years and over,,123.105
2023,,,,Psychological violence,22.325
2023,,,,Physical violence,65.591
2023,,,,Sexual violence,17.565
2024,,,,,130.4
2024,Intentional serious bodily harm (art.151),,,,4.0
2024,Kidnapping a person (art.164),,,,0.836
2024,Sexual assault (art. 171-1751),,,,18.82
2024,Robbery (art. 187),,,,9.689
2024,Brigandage (art. 189),,,,1.15
2024,Blackmail (art 189),,,,2.231
2024,Domestic violence (art.2011),,,,32.377
2024,Hooliganism (art.287),,,,39.1
2024,,Men,,,150.224
2024,,Women,,,113.217
2024,,,0-17 years,,132.16
2024,,,18 years and over,,128.601
2024,,,,Psychological violence,22.928
2024,,,,Physical violence,70.366
2024,,,,Sexual violence,18.82
