Year,Indicators,Value
2010,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2010,2)secondary and post-secondary technical and vocational education curricula,1
2010,3)higher education curricula,1
2011,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2011,2)secondary and post-secondary technical and vocational education curricula,1
2011,3)higher education curricula,1
2012,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2012,2)secondary and post-secondary technical and vocational education curricula,1
2012,3)higher education curricula,1
2013,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2013,2)secondary and post-secondary technical and vocational education curricula,1
2013,3)higher education curricula,1
2014,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2014,2)secondary and post-secondary technical and vocational education curricula,1
2014,3)higher education curricula,1
2015,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2015,2)secondary and post-secondary technical and vocational education curricula,1
2015,3)higher education curricula,1
2016,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2016,2)secondary and post-secondary technical and vocational education curricula,1
2016,3)higher education curricula,1
2017,1)Climate change-related topics integrated into primary and general secondary education curricula,0
2017,2)secondary and post-secondary technical and vocational education curricula,1
2017,3)higher education curricula,1
2018,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2018,2)secondary and post-secondary technical and vocational education curricula,1
2018,3)higher education curricula,1
2019,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2019,2)secondary and post-secondary technical and vocational education curricula,1
2019,3)higher education curricula,1
2020,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2020,2)secondary and post-secondary technical and vocational education curricula,1
2020,3)higher education curricula,1
2021,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2021,2)secondary and post-secondary technical and vocational education curricula,1
2021,3)higher education curricula,1
2022,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2022,2)secondary and post-secondary technical and vocational education curricula,1
2022,3)higher education curricula,1
2023,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2023,2)secondary and post-secondary technical and vocational education curricula,1
2023,3)higher education curricula,1
2024,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2024,2)secondary and post-secondary technical and vocational education curricula,1
2024,3)higher education curricula,1
2025,1)Climate change-related topics integrated into primary and general secondary education curricula,1
2025,2)secondary and post-secondary technical and vocational education curricula,1
2025,3)higher education curricula,1
