Year,Sex,Age group,Persons with disabilities,Education levels,Value
2023,,25-34 years,,,4.485
2023,,35-44 years,,,5.367
2023,,45-54 years,,,3.416
2023,,55-64 years,,,3.584
2023,,,Total,,7.18
2023,,,,Higher,2.826
2023,,,,Post-secondary non-tertiary (secondary professional),4.149
2023,,,,Upper secondary vocational,5.408
2023,,,,"High school, upper secondary (general)",4.874
2023,,,,Lower secondary (gymnasium),6.081
2023,,,,Primary or no education,8.019
