Year,Sex,Age group of the victim,Means of committing,Context/reason,Value
2023,,0-17 years,,,0.557
2023,,18 years and over,,,3.799
2023,,,Firearms and explosive substances,,0.199
2023,,,"White weapons (knife, sharp objects)",,1.194
2023,,,"Tools (row, axe, hammer etc.)",,0.199
2023,,,Other means,,0.119
2023,,,,Revenge,0.04
2023,,,,Jealousy,0.04
2023,,,,Quarrel,0.995
2023,,,,Reason related to family relationships,0.239
2023,,,,Ordered,0
2023,,,,Other reasons,1.791
