Year,Indicators,"Health workers per 10.000 population, in teritorial aspect",Value
2016,Number of nursing and midwifery personnel per 10 000 population,,91.648
2016,Number of dentists per 10 000 population,,6.211
2016,Number of pharmacists per 10 000 population,,5.923
2016,,Total for the country,138.538
2016,,Mun. Chisinau,81.826
2016,,North,93.045
2016,,mun. Balti,165.863
2016,,Briceni,78.837
2016,,Donduseni,88.163
2016,,Drochia,81.625
2016,,Edinet,96.299
2016,,Falesti,68.841
2016,,Floresti,80.543
2016,,Glodeni,76.605
2016,,Ocnita,81.326
2016,,Rascani,86.705
2016,,Sangerei,72.263
2016,,Soroca,97.198
2016,,Centre,70.924
2016,,Anenii Noi,64.543
2016,,Calarasi,76.003
2016,,Criuleni,64.113
2016,,Dubasari,45.514
2016,,Hancesti,70.146
2016,,Ialoveni,57.967
2016,,Nisporeni,79.4
2016,,Orhei,86.162
2016,,Rezina,80.286
2016,,Straseni,63.585
2016,,Soldanesti,76.345
2016,,Telenesti,72.312
2016,,Ungheni,76.67
2016,,South,79.099
2016,,Basarabeasca,87.214
2016,,Cahul,88.618
2016,,Cantemir,78.858
2016,,Causeni,74.652
2016,,Cimislia,82.645
2016,,Leova,67.96
2016,,Stefan Voda,71.729
2016,,Taraclia,79.718
2016,,TAU Gagauzia,108.869
2017,Number of health workers per 10 000 population,,139.748
2017,Physicians per 10 000 population,,47.702
2017,Number of nursing and midwifery personnel per 10 000 population,,92.045
2017,Number of dentists per 10 000 population,,6.268
2017,Number of pharmacists per 10 000 population,,6.023
2017,,Total for the country,139.748
2017,,Mun. Chisinau,80.661
2017,,North,93.082
2017,,mun. Balti,165.359
2017,,Briceni,80.933
2017,,Donduseni,87.998
2017,,Drochia,78.439
2017,,Edinet,99.129
2017,,Falesti,68.772
2017,,Floresti,81.992
2017,,Glodeni,76.63
2017,,Ocnita,79.194
2017,,Rascani,86.947
2017,,Sangerei,70.815
2017,,Soroca,97.341
2017,,Centre,71.587
2017,,Anenii Noi,69.284
2017,,Calarasi,77.925
2017,,Criuleni,63.849
2017,,Dubasari,47.114
2017,,Hancesti,70.146
2017,,Ialoveni,61.87
2017,,Nisporeni,78.99
2017,,Orhei,86.236
2017,,Rezina,78.62
2017,,Straseni,63.389
2017,,Soldanesti,66.946
2017,,Telenesti,73.664
2017,,Ungheni,77.75
2017,,South,80.145
2017,,Basarabeasca,89.3
2017,,Cahul,94.061
2017,,Cantemir,79.401
2017,,Causeni,73.11
2017,,Cimislia,83.013
2017,,Leova,70.764
2017,,Stefan Voda,70.979
2017,,Taraclia,76.639
2017,,TAU Gagauzia,102.168
2018,Number of health workers per 10 000 population,,136.384
2018,Physicians per 10 000 population,,47.062
2018,Number of nursing and midwifery personnel per 10 000 population,,89.322
2018,Number of dentists per 10 000 population,,6.407
2018,Number of pharmacists per 10 000 population,,6.328
2018,,Total for the country,136.384
2018,,Mun. Chisinau,78.337
2018,,North,91.066
2018,,mun. Balti,157.603
2018,,Briceni,80.239
2018,,Donduseni,85.441
2018,,Drochia,77.347
2018,,Edinet,100.162
2018,,Falesti,66.043
2018,,Floresti,80.728
2018,,Glodeni,74.916
2018,,Ocnita,79.455
2018,,Rascani,81.185
2018,,Sangerei,71.62
2018,,Soroca,96.157
2018,,Centre,70.91
2018,,Anenii Noi,64.038
2018,,Calarasi,77.258
2018,,Criuleni,65.464
2018,,Dubasari,49.22
2018,,Hancesti,70.41
2018,,Ialoveni,59.941
2018,,Nisporeni,84.541
2018,,Orhei,85.764
2018,,Rezina,76.728
2018,,Straseni,61.418
2018,,Soldanesti,72.85
2018,,Telenesti,70.494
2018,,Ungheni,75.685
2018,,South,78.432
2018,,Basarabeasca,92.675
2018,,Cahul,91.496
2018,,Cantemir,81.821
2018,,Causeni,71.736
2018,,Cimislia,78.553
2018,,Leova,67.637
2018,,Stefan Voda,67.784
2018,,Taraclia,75.848
2018,,TAU Gagauzia,99.53
2019,Number of health workers per 10 000 population,,136.689
2019,Physicians per 10 000 population,,47.479
2019,Number of nursing and midwifery personnel per 10 000 population,,89.209
2019,Number of dentists per 10 000 population,,6.37
2019,Number of pharmacists per 10 000 population,,6.862
2019,,Total for the country,136.689
2019,,Mun. Chisinau,76.594
2019,,North,90.338
2019,,mun. Balti,153.993
2019,,Briceni,80.196
2019,,Donduseni,84.325
2019,,Drochia,76.211
2019,,Edinet,100.785
2019,,Falesti,66.809
2019,,Floresti,78.589
2019,,Glodeni,75.865
2019,,Ocnita,78.893
2019,,Rascani,80.109
2019,,Sangerei,69.95
2019,,Soroca,96.476
2019,,Centre,71.934
2019,,Anenii Noi,66.064
2019,,Calarasi,77.781
2019,,Criuleni,67.481
2019,,Dubasari,47.393
2019,,Hancesti,70.537
2019,,Ialoveni,58.099
2019,,Nisporeni,86.829
2019,,Orhei,86.674
2019,,Rezina,76.915
2019,,Straseni,62.514
2019,,Soldanesti,79.93
2019,,Telenesti,75.05
2019,,Ungheni,75.529
2019,,South,79.105
2019,,Basarabeasca,89.156
2019,,Cahul,92.549
2019,,Cantemir,80.809
2019,,Causeni,73.507
2019,,Cimislia,80.191
2019,,Leova,69.909
2019,,Stefan Voda,68.553
2019,,Taraclia,74.363
2019,,TAU Gagauzia,97.493
2020,Number of health workers per 10 000 population,,135.465
2020,Physicians per 10 000 population,,47.187
2020,Number of nursing and midwifery personnel per 10 000 population,,88.278
2020,Number of dentists per 10 000 population,,6.29
2020,Number of pharmacists per 10 000 population,,4.637
2020,,Total for the country,135.465
2020,,Mun. Chisinau,74.503
2020,,North,87.649
2020,,mun. Balti,145.057
2020,,Briceni,78.307
2020,,Donduseni,82.794
2020,,Drochia,75.24
2020,,Edinet,98.039
2020,,Falesti,64.85
2020,,Floresti,77.949
2020,,Glodeni,74.099
2020,,Ocnita,76.734
2020,,Rascani,79.491
2020,,Sangerei,69.223
2020,,Soroca,91.313
2020,,Centre,71.047
2020,,Anenii Noi,68.011
2020,,Calarasi,77.903
2020,,Criuleni,66.296
2020,,Dubasari,49.374
2020,,Hancesti,68.813
2020,,Ialoveni,58.359
2020,,Nisporeni,84.717
2020,,Orhei,87.171
2020,,Rezina,71.321
2020,,Straseni,61.454
2020,,Soldanesti,77.659
2020,,Telenesti,71.704
2020,,Ungheni,74.641
2020,,South,78.095
2020,,Basarabeasca,82.334
2020,,Cahul,90.776
2020,,Cantemir,82.129
2020,,Causeni,73.566
2020,,Cimislia,80.972
2020,,Leova,68.619
2020,,Stefan Voda,68.089
2020,,Taraclia,70.704
2020,,TAU Gagauzia,97.139
2021,Number of health workers per 10 000 population,,135.7
2021,Physicians per 10 000 population,,46.5
2021,Number of nursing and midwifery personnel per 10 000 population,,89.2
2021,Number of dentists per 10 000 population,,5.914
2021,Number of pharmacists per 10 000 population,,6.6
2021,,Total for the country,135.7
2021,,Mun. Chisinau,73
2021,,North,85.3
2021,,mun. Balti,142.5
2021,,Briceni,75.1
2021,,Donduseni,77.1
2021,,Drochia,72.3
2021,,Edinet,95.2
2021,,Falesti,61.3
2021,,Floresti,78.8
2021,,Glodeni,73.4
2021,,Ocnita,72.6
2021,,Rascani,79.2
2021,,Sangerei,68.4
2021,,Soroca,87.3
2021,,Centre,70
2021,,Anenii Noi,66.1
2021,,Calarasi,75.1
2021,,Criuleni,66
2021,,Dubasari,48.6
2021,,Hancesti,67.4
2021,,Ialoveni,58.9
2021,,Nisporeni,81.6
2021,,Orhei,85.8
2021,,Rezina,73.2
2021,,Straseni,61.1
2021,,Soldanesti,74.1
2021,,Telenesti,70.1
2021,,Ungheni,74.7
2021,,South,77.1
2021,,Basarabeasca,83.5
2021,,Cahul,90.8
2021,,Cantemir,77.6
2021,,Causeni,74.7
2021,,Cimislia,79.9
2021,,Leova,66.6
2021,,Stefan Voda,65.9
2021,,Taraclia,68.5
2021,,TAU Gagauzia,95.5
2022,Number of health workers per 10 000 population,,143.9
2022,Physicians per 10 000 population,,50.5
2022,Number of nursing and midwifery personnel per 10 000 population,,93.4
2022,Number of dentists per 10 000 population,,6.2
2022,Number of pharmacists per 10 000 population,,7.1
2022,,Total for the country,143.9
2022,,Mun. Chisinau,74.859
2022,,North,91.626
2022,,mun. Balti,148.82
2022,,Briceni,80.508
2022,,Donduseni,82.677
2022,,Drochia,81.219
2022,,Edinet,103.188
2022,,Falesti,64.042
2022,,Floresti,87.714
2022,,Glodeni,78.119
2022,,Ocnita,78.361
2022,,Rascani,83.091
2022,,Sangerei,73.598
2022,,Soroca,94.624
2022,,Centre,73.507
2022,,Anenii Noi,71.046
2022,,Calarasi,79.144
2022,,Criuleni,68.987
2022,,Dubasari,51.01
2022,,Hancesti,70.724
2022,,Ialoveni,59.57
2022,,Nisporeni,84.604
2022,,Orhei,90.889
2022,,Rezina,78.553
2022,,Straseni,63.718
2022,,Soldanesti,80.687
2022,,Telenesti,74.451
2022,,Ungheni,77.279
2022,,South,81.601
2022,,Basarabeasca,87.169
2022,,Cahul,95.857
2022,,Cantemir,84.3
2022,,Causeni,76.513
2022,,Cimislia,86.056
2022,,Leova,72.766
2022,,Stefan Voda,70.056
2022,,Taraclia,72.193
2022,,TAU Gagauzia,94.072
2023,Number of health workers per 10 000 population,,145.5
2023,Physicians per 10 000 population,,50.8
2023,Number of nursing and midwifery personnel per 10 000 population,,94.7
2023,Number of dentists per 10 000 population,,6.3
2023,Number of pharmacists per 10 000 population,,7.5
2023,,Total for the country,145.5
2023,,Mun. Chisinau,74.084
2023,,North,94.76
2023,,mun. Balti,153.43
2023,,Briceni,83.608
2023,,Donduseni,84.249
2023,,Drochia,85.291
2023,,Edinet,109.759
2023,,Falesti,64.367
2023,,Floresti,89.491
2023,,Glodeni,78.713
2023,,Ocnita,79.985
2023,,Rascani,85.133
2023,,Sangerei,77.561
2023,,Soroca,99.171
2023,,Centre,75.809
2023,,Anenii Noi,73.98
2023,,Calarasi,81.17
2023,,Criuleni,69.933
2023,,Dubasari,55.973
2023,,Hancesti,72.269
2023,,Ialoveni,61.774
2023,,Nisporeni,87.537
2023,,Orhei,95.842
2023,,Rezina,79.948
2023,,Straseni,64.611
2023,,Soldanesti,79.55
2023,,Telenesti,77.62
2023,,Ungheni,79.702
2023,,South,84.232
2023,,Basarabeasca,85.802
2023,,Cahul,99.64
2023,,Cantemir,89.143
2023,,Causeni,80.097
2023,,Cimislia,85.9
2023,,Leova,76.103
2023,,Stefan Voda,71.562
2023,,Taraclia,73.591
2023,,TAU Gagauzia,95.576
2024,Number of health workers per 10 000 population,,148.6
2024,Physicians per 10 000 population,,52
