Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,
2013,Men,
2013,Women,
2014,,
2014,Men,
2014,Women,
2015,,
2015,Men,
2015,Women,
2016,,
2016,Men,
2016,Women,
2017,,
2017,Men,
2017,Women,
2018,,
2018,Men,
2018,Women,
2019,,
2019,Men,
2019,Women,
2020,,160.1
2020,Men,165.5
2020,Women,155
2021,,172.1
2021,Men,176.1
2021,Women,168.4
2022,,153
2022,Men,160.7
2022,Women,146
2023,,149
2023,Men,156.7
2023,Women,142
2024,,108.6
2024,Men,115.2
2024,Women,102.8
