Year,Children's rights,Value
2010,,
2010,67,
2011,,
2011,67,
2012,,
2012,67,
2013,,
2013,67,
2014,,
2014,67,
2015,,
2015,67,
2016,,70
2016,67,53
2017,,74.82
2017,67,53
2018,,51
2018,67,49
2019,,48
2019,67,38
2020,,46
2020,67,52
2021,,51
2021,67,51
2022,,56
2022,67,78
2023,,66
2023,67,78
2024,,74
2024,67,67
