Year,Sex,Value
2010,,
2010,Men,
2010,Women,
2011,,
2011,Men,
2011,Women,
2012,,
2012,Men,
2012,Women,
2013,,0.46
2013,Men,0.36
2013,Women,0.54
2014,,0.44
2014,Men,0.33
2014,Women,0.55
2015,,0.48
2015,Men,0.38
2015,Women,0.56
2016,,0.5
2016,Men,0.38
2016,Women,0.6
2017,,0.48
2017,Men,0.38
2017,Women,0.56
2018,,0.46
2018,Men,0.35
2018,Women,0.56
2019,,0.479
2019,Men,0.361
2019,Women,0.587
2020,,0.29
2020,Men,0.25
2020,Women,0.32
2021,,0.27
2021,Men,0.23
2021,Women,0.3
2022,,0.374
2022,Men,0.312
2022,Women,0.429
2023,,0.456
2023,Men,0.383
2023,Women,0.52
