Year,Sex,Area of residence,Value
2010,,,
2010,Boys,,
2010,Girls,,
2010,,Urban,
2010,,Rural,
2011,,,
2011,Boys,,
2011,Girls,,
2011,,Urban,
2011,,Rural,
2012,,,
2012,Boys,,
2012,Girls,,
2012,,Urban,
2012,,Rural,
2013,,,
2013,Boys,,
2013,Girls,,
2013,,Urban,
2013,,Rural,
2014,,,
2014,Boys,,
2014,Girls,,
2014,,Urban,
2014,,Rural,
2015,,,106.621
2015,Boys,,107.017
2015,Girls,,106.206
2015,,Urban,129.236
2015,,Rural,93.886
2016,,,107.241
2016,Boys,,107.657
2016,Girls,,106.796
2016,,Urban,124.639
2016,,Rural,96.474
2017,,,101.782
2017,Boys,,102.424
2017,Girls,,101.095
2017,,Urban,119.861
2017,,Rural,90.159
2018,,,102.427
2018,Boys,,105.066
2018,Girls,,99.706
2018,,Urban,120.042
2018,,Rural,90.175
2019,,,104.138
2019,Boys,,104.209
2019,Girls,,104.062
2019,,Urban,122.502
2019,,Rural,91.274
2020,,,106.426
2020,Boys,,107.545
2020,Girls,,105.259
2020,,Urban,123.427
2020,,Rural,93.683
2021,,,107.626
2021,Boys,,108.139
2021,Girls,,107.09
2021,,Urban,124.741
2021,,Rural,94.347
2022,,,107.6
2022,Boys,,108.2
2022,Girls,,107
2022,,Urban,123.7
2022,,Rural,94.2
2023,,,108.1
2023,Boys,,108.4
2023,Girls,,107.8
2023,,Urban,129.5
2023,,Rural,90.9
2024,,,109.8
2024,Boys,,111.6
2024,Girls,,108
2024,,Urban,132.5
2024,,Rural,91.3
