Year,Value
2010,8.9
2011,9
2012,12.3
2013,14.5
2014,18.8
2015,16.3
2016,19.5
2017,17.7
2018,17.6
2019,22.9
2020,23
2021,24.3
2022,17.2
2023,
2024,
