Year,Sex,Age group,Value
2010,,,
2010,Men,,
2010,Women,,
2010,,18-44 years old,
2011,,,
2011,Men,,
2011,Women,,
2011,,18-44 years old,
2012,,,
2012,Men,,
2012,Women,,
2012,,18-44 years old,
2013,,,
2013,Men,,
2013,Women,,
2013,,18-44 years old,
2014,,,
2014,Men,,1.7
2014,Women,,0.37
2014,,18-44 years old,0.92
2015,,,
2015,Men,,1.68
2015,Women,,0.39
2015,,18-44 years old,0.87
2016,,,
2016,Men,,1.64
2016,Women,,0.43
2016,,18-44 years old,0.86
2017,,,
2017,Men,,1.67
2017,Women,,0.41
2017,,18-44 years old,0.85
2018,,,
2018,Men,,1.71
2018,Women,,0.38
2018,,18-44 years old,0.7
2019,,,
2019,Men,,1.59
2019,Women,,0.48
2019,,18-44 years old,1.17
2020,,,
2020,Men,,1.61
2020,Women,,0.46
2020,,18-44 years old,0.97
2021,,,
2021,Men,,1.28
2021,Women,,0.76
2021,,18-44 years old,1.12
2022,,,
2022,Men,,1.33
2022,Women,,0.72
2022,,18-44 years old,1.29
2023,,,
2023,Men,,1.3
2023,Women,,0.75
2023,,18-44 years old,1.18
2024,,,
2024,Men,,1.33
2024,Women,,0.73
2024,,18-44 years old,1.06
2025,,,
2025,Men,,
2025,Women,,
2025,,18-44 years old,
