Year,Types of resources,Value
2010,,6.2
2010,Boimass,3.4
2010,Fossil fuels,0.2
2010,Metal ores,0
2010,Non-metalic minerals,2.5
2011,,6.3
2011,Boimass,3.4
2011,Fossil fuels,0.3
2011,Metal ores,0
2011,Non-metalic minerals,2.6
2012,,7
2012,Boimass,3
2012,Fossil fuels,0.2
2012,Metal ores,0
2012,Non-metalic minerals,3.7
2013,,7.3
2013,Boimass,3.7
2013,Fossil fuels,0.3
2013,Metal ores,0
2013,Non-metalic minerals,3.3
2014,,7.8
2014,Boimass,4
2014,Fossil fuels,0.2
2014,Metal ores,0
2014,Non-metalic minerals,3.5
2015,,6.6
2015,Boimass,3
2015,Fossil fuels,0.2
2015,Metal ores,0
2015,Non-metalic minerals,3.4
2016,,7.2
2016,Boimass,3.7
2016,Fossil fuels,0.2
2016,Metal ores,0
2016,Non-metalic minerals,3.3
2017,,8
2017,Boimass,4.2
2017,Fossil fuels,0.2
2017,Metal ores,0
2017,Non-metalic minerals,3.5
2018,,8.7
2018,Boimass,4.3
2018,Fossil fuels,0.2
2018,Metal ores,0
2018,Non-metalic minerals,4.1
2019,,8.9
2019,Boimass,4.3
2019,Fossil fuels,0.2
2019,Metal ores,0.1
2019,Non-metalic minerals,4.3
2020,,
2020,Boimass,
2020,Fossil fuels,
2020,Metal ores,
2020,Non-metalic minerals,
2021,,
2021,Boimass,
2021,Fossil fuels,
2021,Metal ores,
2021,Non-metalic minerals,
2022,,
2022,Boimass,
2022,Fossil fuels,
2022,Metal ores,
2022,Non-metalic minerals,
