Year,Indicators,Value
2010,,
2010,Ratio of own funds of level I in relation to total assets,16
2010,Ratio of own funds of level I in relation to risk-weighted assets,29.62
2010,Non-performing loans rate (without reserves) in relation to the total regulated capital,29.18
2010,Share of non-performing loans in total loans granted,13.33
2010,Return on assets,0.47
2010,Rate of liquid assets in relation to short-term liabilities,50
2010,Rate of net open foreign exchange position at total regulated capital,5.06
2011,,
2011,Ratio of own funds of level I in relation to total assets,15.86
2011,Ratio of own funds of level I in relation to risk-weighted assets,30.23
2011,Non-performing loans rate (without reserves) in relation to the total regulated capital,25.96
2011,Share of non-performing loans in total loans granted,10.66
2011,Return on assets,1.96
2011,Rate of liquid assets in relation to short-term liabilities,51.55
2011,Rate of net open foreign exchange position at total regulated capital,4.83
2012,,
2012,Ratio of own funds of level I in relation to total assets,12.01
2012,Ratio of own funds of level I in relation to risk-weighted assets,23.96
2012,Non-performing loans rate (without reserves) in relation to the total regulated capital,22.72
2012,Share of non-performing loans in total loans granted,14.5
2012,Return on assets,0.81
2012,Rate of liquid assets in relation to short-term liabilities,86.44
2012,Rate of net open foreign exchange position at total regulated capital,2.6
2013,,
2013,Ratio of own funds of level I in relation to total assets,10.51
2013,Ratio of own funds of level I in relation to risk-weighted assets,22.69
2013,Non-performing loans rate (without reserves) in relation to the total regulated capital,16.6
2013,Share of non-performing loans in total loans granted,11.58
2013,Return on assets,1.55
2013,Rate of liquid assets in relation to short-term liabilities,76.8
2013,Rate of net open foreign exchange position at total regulated capital,3.63
2014,,
2014,Ratio of own funds of level I in relation to total assets,10.84
2014,Ratio of own funds of level I in relation to risk-weighted assets,13.41
2014,Non-performing loans rate (without reserves) in relation to the total regulated capital,12.96
2014,Share of non-performing loans in total loans granted,11.73
2014,Return on assets,0.87
2014,Rate of liquid assets in relation to short-term liabilities,42.27
2014,Rate of net open foreign exchange position at total regulated capital,36.03
2015,,
2015,Ratio of own funds of level I in relation to total assets,13.1
2015,Ratio of own funds of level I in relation to risk-weighted assets,25.39
2015,Non-performing loans rate (without reserves) in relation to the total regulated capital,14.38
2015,Share of non-performing loans in total loans granted,9.95
2015,Return on assets,1.72
2015,Rate of liquid assets in relation to short-term liabilities,92.47
2015,Rate of net open foreign exchange position at total regulated capital,8.02
2016,,
2016,Ratio of own funds of level I in relation to total assets,12.83
2016,Ratio of own funds of level I in relation to risk-weighted assets,28.68
2016,Non-performing loans rate (without reserves) in relation to the total regulated capital,15.31
2016,Share of non-performing loans in total loans granted,16.41
2016,Return on assets,1.91
2016,Rate of liquid assets in relation to short-term liabilities,104.89
2016,Rate of net open foreign exchange position at total regulated capital,7.21
2017,,
2017,Ratio of own funds of level I in relation to total assets,12.71
2017,Ratio of own funds of level I in relation to risk-weighted assets,29.84
2017,Non-performing loans rate (without reserves) in relation to the total regulated capital,14.53
2017,Share of non-performing loans in total loans granted,18.38
2017,Return on assets,1.94
2017,Rate of liquid assets in relation to short-term liabilities,179.52
2017,Rate of net open foreign exchange position at total regulated capital,6.37
2018,,
2018,Ratio of own funds of level I in relation to total assets,12.893
2018,Ratio of own funds of level I in relation to risk-weighted assets,26.264
2018,Non-performing loans rate (without reserves) in relation to the total regulated capital,13.404
2018,Share of non-performing loans in total loans granted,12.539
2018,Return on assets,1.9
2018,Rate of liquid assets in relation to short-term liabilities,180.719
2018,Rate of net open foreign exchange position at total regulated capital,-14.049
2019,,
2019,Ratio of own funds of level I in relation to total assets,12.554
2019,Ratio of own funds of level I in relation to risk-weighted assets,24.967
2019,Non-performing loans rate (without reserves) in relation to the total regulated capital,10.474
2019,Share of non-performing loans in total loans granted,8.491
2019,Return on assets,2.473
2019,Rate of liquid assets in relation to short-term liabilities,207.369
2019,Rate of net open foreign exchange position at total regulated capital,-12.609
2020,,
2020,Ratio of own funds of level I in relation to total assets,12.964
2020,Ratio of own funds of level I in relation to risk-weighted assets,26.904
2020,Non-performing loans rate (without reserves) in relation to the total regulated capital,8.584
2020,Share of non-performing loans in total loans granted,7.382
2020,Return on assets,1.657
2020,Rate of liquid assets in relation to short-term liabilities,241.799
2020,Rate of net open foreign exchange position at total regulated capital,-14.284
2021,,
2021,Ratio of own funds of level I in relation to total assets,12.447
2021,Ratio of own funds of level I in relation to risk-weighted assets,25.191
2021,Non-performing loans rate (without reserves) in relation to the total regulated capital,8.555
2021,Share of non-performing loans in total loans granted,6.14
2021,Return on assets,2.014
2021,Rate of liquid assets in relation to short-term liabilities,251.082
2021,Rate of net open foreign exchange position at total regulated capital,-12.884
2022,,
2022,Ratio of own funds of level I in relation to total assets,13.543
2022,Ratio of own funds of level I in relation to risk-weighted assets,28.541
2022,Non-performing loans rate (without reserves) in relation to the total regulated capital,9.086
2022,Share of non-performing loans in total loans granted,6.443
2022,Return on assets,2.893
2022,Rate of liquid assets in relation to short-term liabilities,300.16
2022,Rate of net open foreign exchange position at total regulated capital,-9.816
2023,,
2023,Ratio of own funds of level I in relation to total assets,13.108
2023,Ratio of own funds of level I in relation to risk-weighted assets,29.108
2023,Non-performing loans rate (without reserves) in relation to the total regulated capital,7.798
2023,Share of non-performing loans in total loans granted,5.555
2023,Return on assets,3.265
2023,Rate of liquid assets in relation to short-term liabilities,289.787
2023,Rate of net open foreign exchange position at total regulated capital,-10.04
2024,,
2024,Ratio of own funds of level I in relation to total assets,12.406
2024,Ratio of own funds of level I in relation to risk-weighted assets,24.994
2024,Non-performing loans rate (without reserves) in relation to the total regulated capital,6.951
2024,Share of non-performing loans in total loans granted,4.162
2024,Return on assets,2.802
2024,Rate of liquid assets in relation to short-term liabilities,296.351
2024,Rate of net open foreign exchange position at total regulated capital,-8.952
