Year,Mediul de reședință,Sexul capului gospodăriei,"Grupe de vârstă capului gospodăriei, ani",Quintile pe cheltuielile de consum,Tipul gospodăriei,Value
2016,,,65+,,,31.1
2016,,,,I,,12.1
2016,,,,II,,14.4
2016,,,,III,,16.3
2016,,,,IV,,20.8
2016,,,,V,,22.2
2016,,,,,Cu copii până la 18 ani,11.7
2016,,,,,Fără copii până la 18 ani,22.9
2017,,,,,,16.3
2017,Urban,,,,,15.6
2017,Rural,,,,,16.8
2017,,Bărbați,,,,14.9
2017,,Femei,,,,19.0
2017,,,<30,,,7.1
2017,,,30-39,,,7.9
2017,,,40-49,,,9.9
2017,,,50-59,,,17.9
2017,,,60-64,,,24.3
2017,,,65+,,,31.9
2017,,,,I,,12.3
2017,,,,II,,15.6
2017,,,,III,,15.6
2017,,,,IV,,16.7
2017,,,,V,,21.2
2017,,,,,Cu copii până la 18 ani,11.3
2017,,,,,Fără copii până la 18 ani,21.6
2018,,,,,,13.1
2018,Urban,,,,,13.5
2018,Rural,,,,,12.8
2018,,Bărbați,,,,12.1
2018,,Femei,,,,15.1
2018,,,<30,,,7.1
2018,,,30-39,,,8.9
2018,,,40-49,,,9.8
2018,,,50-59,,,11.2
2018,,,60-64,,,18.0
2018,,,65+,,,25.3
2018,,,,I,,7.9
2018,,,,II,,12.2
2018,,,,III,,12.8
2018,,,,IV,,13.3
2018,,,,V,,19.3
2018,,,,,Cu copii până la 18 ani,10.4
2018,,,,,Fără copii până la 18 ani,15.9
2019,,,,,,14.0
2019,Urban,,,,,15.4
2019,Rural,,,,,13.1
2019,,Bărbați,,,,13.0
2019,,Femei,,,,16.4
2019,,,<30,,,12.3
2019,,,30-39,,,8.4
2019,,,40-49,,,8.7
2019,,,50-59,,,15.7
2019,,,60-64,,,19.2
2019,,,65+,,,23.4
2019,,,,I,,6.8
2019,,,,II,,11.2
2019,,,,III,,13.0
2019,,,,IV,,18.0
2019,,,,V,,21.3
2019,,,,,Cu copii până la 18 ani,9.3
2019,,,,,Fără copii până la 18 ani,18.9
2020,,,,,,11.973
2020,Urban,,,,,14.108
2020,Rural,,,,,10.567
2020,,Bărbați,,,,10.967
2020,,Femei,,,,14.012
2020,,,<30,,,9.661
2020,,,30-39,,,6.981
2020,,,40-49,,,8.597
2020,,,50-59,,,11.862
2020,,,60-64,,,15.785
2020,,,65+,,,21.794
2020,,,,I,,3.94
2020,,,,II,,7.959
2020,,,,III,,12.548
2020,,,,IV,,17.968
2020,,,,V,,17.461
2020,,,,,Cu copii până la 18 ani,7.676
2020,,,,,Fără copii până la 18 ani,16.345
2021,,,,,,14.151
2021,Urban,,,,,17.112
2021,Rural,,,,,12.205
2021,,Bărbați,,,,13.487
2021,,Femei,,,,15.52
2021,,,<30,,,8.511
2021,,,30-39,,,10.19
2021,,,40-49,,,10.488
2021,,,50-59,,,14.172
2021,,,60-64,,,18.407
2021,,,65+,,,23.566
2021,,,,I,,6.877
2021,,,,II,,11.655
2021,,,,III,,11.391
2021,,,,IV,,17.672
2021,,,,V,,23.176
2021,,,,,Cu copii până la 18 ani,11.193
2021,,,,,Fără copii până la 18 ani,17.09
2022,,,,,,11.726
2022,Urban,,,,,15.603
2022,Rural,,,,,9.179
2022,,Bărbați,,,,10.488
2022,,Femei,,,,14.152
2022,,,<30,,,6.312
2022,,,30-39,,,9.838
2022,,,40-49,,,9.397
2022,,,50-59,,,10.923
2022,,,60-64,,,13.814
2022,,,65+,,,18.529
2022,,,,I,,5.777
2022,,,,II,,8.637
2022,,,,III,,11.442
2022,,,,IV,,12.393
2022,,,,V,,20.38
2022,,,,,Cu copii până la 18 ani,8.469
2022,,,,,Fără copii până la 18 ani,14.677
2023,,,,,,10.594
2023,Urban,,,,,13.697
2023,Rural,,,,,8.262
2023,,Bărbați,,,,9.545
2023,,Femei,,,,12.61
2023,,,<30,,,8.593
2023,,,30-39,,,8.325
2023,,,40-49,,,5.183
2023,,,50-59,,,12.522
2023,,,60-64,,,11.243
2023,,,65+,,,17.386
2023,,,,I,,4.262
2023,,,,II,,7.393
2023,,,,III,,8.904
2023,,,,IV,,12.412
2023,,,,V,,20.006
2023,,,,,Cu copii până la 18 ani,8.588
2023,,,,,Fără copii până la 18 ani,12.439
