Year,Sex,Value
2010,,
2010,Women,
2011,,
2011,Women,
2012,,
2012,Women,
2013,,
2013,Women,
2014,,
2014,Women,1.0
2015,,
2015,Women,1.0
2016,,
2016,Women,1.0
2017,,
2017,Women,1.0
2018,,
2018,Women,1.0
2019,,
2019,Women,1.0
2020,,
2020,Women,1.0
2021,,
2021,Women,1.0
2022,,
2022,Women,
