Year,Proportion of female judges to Proportion of women in the working-age population,Proportion of female registrars to Proportion of women in the working-age population,Proportion of young judges aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of young registrars aged 44 and below to Proportion of the working-age population aged above the eligibility age and below 45,Proportion of judges with a disability to Proportion of persons with a disability in the working-age population,Proportion of registrars with a disability to Proportion of persons with a disability in the working-age population,Value
2016,,,Lower-level courts,,,,
2016,,,Total (across all levels of courts),,,,
2016,,,,Constitutional/ supreme courts,,,
2016,,,,Higher-level courts,,,
2016,,,,Lower-level courts,,,
2016,,,,Total (across all levels of courts),,,
2016,,,,,Constitutional/ supreme courts,,
2016,,,,,Higher-level courts,,
2016,,,,,Lower-level courts,,
2016,,,,,Total (across all levels of courts),,
2016,,,,,,Constitutional/ supreme courts,
2016,,,,,,Higher-level courts,
2016,,,,,,Lower-level courts,
2016,,,,,,Total (across all levels of courts),
2017,,,,,,,
2017,Constitutional/ supreme courts,,,,,,
2017,Higher-level courts,,,,,,
2017,Lower-level courts,,,,,,
2017,Total (across all levels of courts),,,,,,
2017,,Constitutional/ supreme courts,,,,,
2017,,Higher-level courts,,,,,
2017,,Lower-level courts,,,,,
2017,,Total (across all levels of courts),,,,,
2017,,,Constitutional/ supreme courts,,,,
2017,,,Higher-level courts,,,,
2017,,,Lower-level courts,,,,
2017,,,Total (across all levels of courts),,,,
2017,,,,Constitutional/ supreme courts,,,
2017,,,,Higher-level courts,,,
2017,,,,Lower-level courts,,,
2017,,,,Total (across all levels of courts),,,
2017,,,,,Constitutional/ supreme courts,,
2017,,,,,Higher-level courts,,
2017,,,,,Lower-level courts,,
2017,,,,,Total (across all levels of courts),,
2017,,,,,,Constitutional/ supreme courts,
2017,,,,,,Higher-level courts,
2017,,,,,,Lower-level courts,
2017,,,,,,Total (across all levels of courts),
2018,,,,,,,
2018,Constitutional/ supreme courts,,,,,,
2018,Higher-level courts,,,,,,
2018,Lower-level courts,,,,,,
2018,Total (across all levels of courts),,,,,,
2018,,Constitutional/ supreme courts,,,,,
2018,,Higher-level courts,,,,,
2018,,Lower-level courts,,,,,
2018,,Total (across all levels of courts),,,,,
2018,,,Constitutional/ supreme courts,,,,
2018,,,Higher-level courts,,,,
2018,,,Lower-level courts,,,,
2018,,,Total (across all levels of courts),,,,
2018,,,,Constitutional/ supreme courts,,,
2018,,,,Higher-level courts,,,
2018,,,,Lower-level courts,,,
2018,,,,Total (across all levels of courts),,,
2018,,,,,Constitutional/ supreme courts,,
2018,,,,,Higher-level courts,,
2018,,,,,Lower-level courts,,
2018,,,,,Total (across all levels of courts),,
2018,,,,,,Constitutional/ supreme courts,
2018,,,,,,Higher-level courts,
2018,,,,,,Lower-level courts,
2018,,,,,,Total (across all levels of courts),
2019,,,,,,,
2019,Constitutional/ supreme courts,,,,,,0.96
2019,Higher-level courts,,,,,,0.87
2019,Lower-level courts,,,,,,1.02
2019,Total (across all levels of courts),,,,,,0.99
2019,,Constitutional/ supreme courts,,,,,1.54
2019,,Higher-level courts,,,,,1.4
2019,,Lower-level courts,,,,,1.65
2019,,Total (across all levels of courts),,,,,1.59
2019,,,Constitutional/ supreme courts,,,,0.0
2019,,,Higher-level courts,,,,0.25
2019,,,Lower-level courts,,,,1.29
2019,,,Total (across all levels of courts),,,,1.02
2019,,,,Constitutional/ supreme courts,,,1.81
2019,,,,Higher-level courts,,,2.04
2019,,,,Lower-level courts,,,1.91
2019,,,,Total (across all levels of courts),,,1.93
2019,,,,,Constitutional/ supreme courts,,0.0
2019,,,,,Higher-level courts,,0.0
2019,,,,,Lower-level courts,,0.05
2019,,,,,Total (across all levels of courts),,0.05
2019,,,,,,Constitutional/ supreme courts,0.0
2019,,,,,,Higher-level courts,0.1
2019,,,,,,Lower-level courts,0.05
2019,,,,,,Total (across all levels of courts),0.06
2020,,,,,,,
2020,Constitutional/ supreme courts,,,,,,1.0
2020,Higher-level courts,,,,,,0.89
2020,Lower-level courts,,,,,,1.02
2020,Total (across all levels of courts),,,,,,0.99
2020,,Constitutional/ supreme courts,,,,,1.47
2020,,Higher-level courts,,,,,1.4
2020,,Lower-level courts,,,,,1.68
2020,,Total (across all levels of courts),,,,,1.61
2020,,,Constitutional/ supreme courts,,,,0.0
2020,,,Higher-level courts,,,,0.28
2020,,,Lower-level courts,,,,1.48
2020,,,Total (across all levels of courts),,,,1.17
2020,,,,Constitutional/ supreme courts,,,2.07
2020,,,,Higher-level courts,,,2.07
2020,,,,Lower-level courts,,,2.02
2020,,,,Total (across all levels of courts),,,2.03
2020,,,,,Constitutional/ supreme courts,,0.0
2020,,,,,Higher-level courts,,0.0
2020,,,,,Lower-level courts,,0.05
2020,,,,,Total (across all levels of courts),,0.04
2020,,,,,,Constitutional/ supreme courts,0.0
2020,,,,,,Higher-level courts,0.05
2020,,,,,,Lower-level courts,0.03
2020,,,,,,Total (across all levels of courts),0.03
2021,,,,,,,
2021,Constitutional/ supreme courts,,,,,,1.05
2021,Higher-level courts,,,,,,0.84
2021,Lower-level courts,,,,,,0.98
2021,Total (across all levels of courts),,,,,,0.96
2021,,Constitutional/ supreme courts,,,,,1.38
2021,,Higher-level courts,,,,,1.4
2021,,Lower-level courts,,,,,1.71
2021,,Total (across all levels of courts),,,,,1.62
2021,,,Constitutional/ supreme courts,,,,0.0
2021,,,Higher-level courts,,,,0.7
2021,,,Lower-level courts,,,,1.25
2021,,,Total (across all levels of courts),,,,1.08
2021,,,,Constitutional/ supreme courts,,,2.02
2021,,,,Higher-level courts,,,2.05
2021,,,,Lower-level courts,,,2.0
2021,,,,Total (across all levels of courts),,,2.01
2021,,,,,Constitutional/ supreme courts,,0.0
2021,,,,,Higher-level courts,,0.0
2021,,,,,Lower-level courts,,0.06
2021,,,,,Total (across all levels of courts),,0.04
2021,,,,,,Constitutional/ supreme courts,0.0
2021,,,,,,Higher-level courts,0.05
2021,,,,,,Lower-level courts,0.03
2021,,,,,,Total (across all levels of courts),0.03
2022,,,,,,,
2022,Constitutional/ supreme courts,,,,,,0.96
2022,Higher-level courts,,,,,,0.84
2022,Lower-level courts,,,,,,1.07
2022,Total (across all levels of courts),,,,,,1.02
2022,,Constitutional/ supreme courts,,,,,1.38
2022,,Higher-level courts,,,,,1.4
2022,,Lower-level courts,,,,,1.71
2022,,Total (across all levels of courts),,,,,1.62
2022,,,Constitutional/ supreme courts,,,,0.0
2022,,,Higher-level courts,,,,0.7
2022,,,Lower-level courts,,,,1.19
2022,,,Total (across all levels of courts),,,,1.03
2022,,,,Constitutional/ supreme courts,,,2.02
2022,,,,Higher-level courts,,,2.05
2022,,,,Lower-level courts,,,2.0
2022,,,,Total (across all levels of courts),,,2.01
2022,,,,,Constitutional/ supreme courts,,0.0
2022,,,,,Higher-level courts,,0.0
2022,,,,,Lower-level courts,,0.08
2022,,,,,Total (across all levels of courts),,0.06
2022,,,,,,Constitutional/ supreme courts,0.0
2022,,,,,,Higher-level courts,0.05
2022,,,,,,Lower-level courts,0.05
2022,,,,,,Total (across all levels of courts),0.04
2023,,,,,,,
2023,Constitutional/ supreme courts,,,,,,0.91
2023,Higher-level courts,,,,,,0.91
2023,Lower-level courts,,,,,,1.05
2023,Total (across all levels of courts),,,,,,1.02
2023,,Constitutional/ supreme courts,,,,,1.58
2023,,Higher-level courts,,,,,1.64
2023,,Lower-level courts,,,,,1.75
2023,,Total (across all levels of courts),,,,,1.71
2023,,,Constitutional/ supreme courts,,,,0.0
2023,,,Higher-level courts,,,,0.77
2023,,,Lower-level courts,,,,1.25
2023,,,Total (across all levels of courts),,,,1.12
2023,,,,Constitutional/ supreme courts,,,2.05
2023,,,,Higher-level courts,,,2.1
2023,,,,Lower-level courts,,,2.03
2023,,,,Total (across all levels of courts),,,2.04
2023,,,,,Constitutional/ supreme courts,,0.0
2023,,,,,Higher-level courts,,0.0
2023,,,,,Lower-level courts,,0.09
2023,,,,,Total (across all levels of courts),,0.07
2023,,,,,,Constitutional/ supreme courts,0.0
2023,,,,,,Higher-level courts,0.05
2023,,,,,,Lower-level courts,0.05
2023,,,,,,Total (across all levels of courts),0.04
2024,,,,,,,
2024,Constitutional/ supreme courts,,,,,,1.2
2024,Higher-level courts,,,,,,0.87
2024,Lower-level courts,,,,,,1.07
2024,Total (across all levels of courts),,,,,,1.04
2024,,Constitutional/ supreme courts,,,,,1.41
2024,,Higher-level courts,,,,,1.71
2024,,Lower-level courts,,,,,1.77
2024,,Total (across all levels of courts),,,,,1.74
2024,,,Constitutional/ supreme courts,,,,0.7
2024,,,Higher-level courts,,,,0.5
2024,,,Lower-level courts,,,,1.4
2024,,,Total (across all levels of courts),,,,1.2
2024,,,,Constitutional/ supreme courts,,,2.05
2024,,,,Higher-level courts,,,2.04
2024,,,,Lower-level courts,,,2.04
2024,,,,Total (across all levels of courts),,,2.04
2024,,,,,Constitutional/ supreme courts,,0.0
2024,,,,,Higher-level courts,,0.0
2024,,,,,Lower-level courts,,0.06
2024,,,,,Total (across all levels of courts),,0.05
2024,,,,,,Constitutional/ supreme courts,0.0
2024,,,,,,Higher-level courts,0.06
2024,,,,,,Lower-level courts,0.04
2024,,,,,,Total (across all levels of courts),0.04
2025,,,,,,,
2025,Constitutional/ supreme courts,,,,,,0.8
2025,Higher-level courts,,,,,,0.88
2025,Lower-level courts,,,,,,1.03
2025,Total (across all levels of courts),,,,,,0.99
2025,,Constitutional/ supreme courts,,,,,1.37
2025,,Higher-level courts,,,,,1.73
