Year,Value
2010.0,
2011.0,
2012.0,
2013.0,
2014.0,3.9
2015.0,5.3
2016.0,6.9
2017.0,8.3
2018.0,7.1
2019.0,3.0
2020.0,3.9
2021.0,3.9
2022.0,
,
,
