Year,Value
2010,
2010,
2010,
2010,
2010,
2011,
2011,
2011,
2011,
2011,
2012,
2012,
2012,
2012,
2012,
2013,
2013,
2013,
2013,
2013,
2014,98.3
2014,
2014,
2014,
2014,
2015,116.1
2015,
2015,
2015,
2015,
2016,133.5
2016,
2016,
2016,
2016,
2017,118.5
2017,
2017,
2017,
2017,
2018,120.6
2018,
2018,
2018,
2018,
2019,114.0
2019,
2019,
2019,
2019,
2020,87.1
2020,
2020,
2020,
2020,
2021,104.0
2021,
2021,
2021,
2021,
2022,116.6
2022,
2022,
2022,
2022,
2023,120.8
2023,
2023,
2023,
2023,
2024,130.4
2024,
2024,
2024,
2024,
2025,130.4
2025,
2025,
2025,
2025,
