Year,Civil Society Organizations Development Program 2024-2027,Civil Society Development Strategy 2018-2020,General objectives,Value
2022,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2022,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2022,,,General objective 3. Development of active civic spirit and volunteering,
2023,,,,
2023,General objective 1. Improving access to decision-making processes at central and local public administration level,,,
2023,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,
2023,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,
2023,,Total,,
2023,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2023,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2023,,,General objective 3. Development of active civic spirit and volunteering,
2024,,,,
2024,General objective 1. Improving access to decision-making processes at central and local public administration level,,,71.429
2024,General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,,,78.5
2024,General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,,,75.0
2024,,Total,,
2024,,,General objective 1. Consolidation of the normative and institutional framework regarding the participation of civil society in the development and monitoring of the implementation of public policies,
2024,,,General objective 2. Promoting and strengthening the financial sustainability of civil society,
2024,,,General objective 3. Development of active civic spirit and volunteering,
