Year,Resurse genetice animaliere,Resurse genetice vegetale (mostre),Value
2020,,Total,6012.0
2020,,Corn,
2020,,Sorghum crops,
2020,,Aromatic and medicinal plants,
2020,,Cereal crops,
2020,,Leguminous crops for grains,
2020,,Viticulture,
2020,,Pomology (Fruit growing),
2020,,Berry crops,
2020,,Vegetable growing (Vegetable crops),
2020,,Potato,
2021,,,
2021,"Bovine, capete",,4997.0
2021,"Porcine, capete",,4265.0
2021,"Ovine, capete",,4111.0
2021,"Caprine, capete",,77.0
2021,"Cabaline, capete",,49.0
2021,"Iepuri, capete",,
2021,"Păsări, capete",,
2021,"Piscicole (pești), capete",,1279.0
2021,"Apicole (albini), familii",,665.0
2021,,Total,6012.0
2021,,Corn,
2021,,Sorghum crops,
2021,,Aromatic and medicinal plants,
2021,,Cereal crops,
2021,,Leguminous crops for grains,
2021,,Viticulture,
2021,,Pomology (Fruit growing),
2021,,Berry crops,
2021,,Vegetable growing (Vegetable crops),
2021,,Potato,
2022,,,
2022,"Bovine, capete",,5108.0
2022,"Porcine, capete",,3904.0
2022,"Ovine, capete",,3194.0
2022,"Caprine, capete",,55.0
2022,"Cabaline, capete",,49.0
2022,"Iepuri, capete",,
2022,"Păsări, capete",,15564.0
2022,"Piscicole (pești), capete",,
2022,"Apicole (albini), familii",,1934.0
2022,,Total,6012.0
2022,,Corn,
2022,,Sorghum crops,
2022,,Aromatic and medicinal plants,
2022,,Cereal crops,
2022,,Leguminous crops for grains,
2022,,Viticulture,
2022,,Pomology (Fruit growing),
2022,,Berry crops,
2022,,Vegetable growing (Vegetable crops),
2022,,Potato,
2023,,,
2023,"Bovine, capete",,
2023,"Porcine, capete",,
2023,"Ovine, capete",,
2023,"Caprine, capete",,
2023,"Cabaline, capete",,
2023,"Iepuri, capete",,
2023,"Păsări, capete",,
2023,"Piscicole (pești), capete",,
2023,"Apicole (albini), familii",,
2023,,Total,
2023,,Corn,1071.0
2023,,Sorghum crops,73.0
2023,,Aromatic and medicinal plants,9.0
2023,,Cereal crops,9938.0
2023,,Leguminous crops for grains,4052.0
2023,,Viticulture,
2023,,Pomology (Fruit growing),
2023,,Berry crops,
2023,,Vegetable growing (Vegetable crops),
2023,,Potato,
2024,,,
2024,"Bovine, capete",,
2024,"Porcine, capete",,
2024,"Ovine, capete",,
2024,"Caprine, capete",,
2024,"Cabaline, capete",,
