Year,Urban,Rural,Men,Women,<30,30-39,40-49,50-59,60-64,65+,I,II,III,IV,V,Value
2014,,,,,,,,,,,,,,,,5.2
2014,,,,,,,,,,,,,,,,15.4
2014,,,,,,,,,,,,,,,,3.0
2014,,,,,,,,,,,,,,,,3.3
2014,,,,,,,,,,,,,,,,3.5
2014,,,,,,,,,,,Quintiles on consumption expenditures,,,,,6.2
2014,,,,,,,,,,,,,,,,5.1
2014,,,,,,,,,,,,,,,,3.7
2014,,,,,,,,,,,,,,,,3.5
2014,,,,,,,,,,,,,,,,8.5
2015,,,,,,,,,,,,,,,,4.3
2015,Area of residence,,,,,,,,,,,,,,,5.7
2015,,,,,,,,,,,,,,,,2.8
2015,,,Sex of the head of the household,,,,,,,,,,,,,5.8
2015,,,,,,,,,,,,,,,,1.8
2015,,,,,"Age groups of head of household, years",,,,,,,,,,,5.5
2015,,,,,,,,,,,,,,,,7.6
2015,,,,,,,,,,,,,,,,3.5
2015,,,,,,,,,,,,,,,,1.7
2015,,,,,,,,,,,,,,,,3.2
2015,,,,,,,,,,,,,,,,6.5
2015,,,,,,,,,,,Quintiles on consumption expenditures,,,,,3.3
2015,,,,,,,,,,,,,,,,3.3
2015,,,,,,,,,,,,,,,,3.7
2015,,,,,,,,,,,,,,,,2.5
2015,,,,,,,,,,,,,,,,5.8
2016,,,,,,,,,,,,,,,,5.3
2016,Area of residence,,,,,,,,,,,,,,,4.6
2016,,,,,,,,,,,,,,,,6.0
2016,,,Sex of the head of the household,,,,,,,,,,,,,4.7
2016,,,,,,,,,,,,,,,,6.3
2016,,,,,"Age groups of head of household, years",,,,,,,,,,,15.5
2016,,,,,,,,,,,,,,,,5.2
2016,,,,,,,,,,,,,,,,4.6
2016,,,,,,,,,,,,,,,,5.8
2016,,,,,,,,,,,,,,,,5.8
2016,,,,,,,,,,,,,,,,2.8
2016,,,,,,,,,,,Quintiles on consumption expenditures,,,,,8.3
2016,,,,,,,,,,,,,,,,2.4
2016,,,,,,,,,,,,,,,,3.0
2016,,,,,,,,,,,,,,,,3.6
2016,,,,,,,,,,,,,,,,7.1
2017,,,,,,,,,,,,,,,,5.8
2017,Area of residence,,,,,,,,,,,,,,,6.6
2017,,,,,,,,,,,,,,,,5.2
2017,,,Sex of the head of the household,,,,,,,,,,,,,5.9
2017,,,,,,,,,,,,,,,,5.7
2017,,,,,"Age groups of head of household, years",,,,,,,,,,,8.1
2017,,,,,,,,,,,,,,,,5.3
2017,,,,,,,,,,,,,,,,9.4
2017,,,,,,,,,,,,,,,,3.1
2017,,,,,,,,,,,,,,,,5.2
2017,,,,,,,,,,,,,,,,6.5
2017,,,,,,,,,,,Quintiles on consumption expenditures,,,,,5.4
2017,,,,,,,,,,,,,,,,3.8
2017,,,,,,,,,,,,,,,,4.8
2017,,,,,,,,,,,,,,,,3.3
2017,,,,,,,,,,,,,,,,8.2
