Year,Indicatori,Value
2021,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2022,,
2022,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2022,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2022,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2022,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2023,,
2023,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2023,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2023,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2023,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2024,,
2024,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,
2024,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2024,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,
2024,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,
2025,,
2025,Proporția indicatorilor de rezultate care vor fi monitorizați utilizând surse guvernamentale și sisteme de monitorizare – date pe beneficiar,44.1
2025,Proporția obiectivelor proiectelor din noile intervenții de dezvoltare care sunt derivate din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,95.8
2025,Proporția indicatorilor de rezultate care sunt derivați din cadrele de rezultate conduse la nivel de țară – date pe beneficiar,47.5
2025,Gradul de utilizare a cadrelor de rezultate și a instrumentelor de planificare deținute la nivel de țară de către furnizorii de cooperare pentru dezvoltare – date pe beneficiar,62.5
