Year,Mediul de reședință,Sex,Types of offences,Etnie,Context migrațional,Cetățenie,Value
2017,,,xx,,,,
2017,,,,xx,,,
2017,,,,xx,,,
2017,,,,xx,,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,xx,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2017,,,,,,,
2018,,,,,,,
2018,Urban,,,,,,
2018,Rural,,,,,,
2018,,Bărbați,,,,,
2018,,Femei,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,xx,,,,
2018,,,xx,,,,
2018,,,,xx,,,
2018,,,,xx,,,
2018,,,,xx,,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,xx,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Bărbați,,,,,
2019,,Femei,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,xx,,,,
2019,,,xx,,,,
2019,,,,xx,,,
2019,,,,xx,,,
2019,,,,xx,,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,xx,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2020,,,,,,,
2020,Urban,,,,,,
2020,Rural,,,,,,
2020,,Bărbați,,,,,
2020,,Femei,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,xx,,,,
2020,,,xx,,,,
2020,,,,xx,,,
2020,,,,xx,,,
2020,,,,xx,,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,xx,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2020,,,,,,,
2021,,,,,,,
2021,Urban,,,,,,
2021,Rural,,,,,,
2021,,Bărbați,,,,,
2021,,Femei,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,xx,,,,
2021,,,xx,,,,
2021,,,,xx,,,
2021,,,,xx,,,
2021,,,,xx,,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,xx,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2021,,,,,,,
2022,,,,,,,
2022,Urban,,,,,,
2022,Rural,,,,,,
2022,,Bărbați,,,,,
2022,,Femei,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,xx,,,,
2022,,,xx,,,,
2022,,,,xx,,,
2022,,,,xx,,,
2022,,,,xx,,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,xx,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
2022,,,,,,,
