Year,Sex,Nivel de instruire,Instituțiile unde s-au efectuat plăți,Value
2014,,,Inspecțiile sanitar-epidemiologice,5.7
2014,,,Birourile/serviciile cadastrale,1.5
2014,,,Instanțele de judecată,3.5
2014,,,Achizițiile publice,1.5
2014,,,Înregistrarea transportului și eliberarea permisului de conducere,3.1
2014,,,Revizia tehnică a automobilelor,6.4
2014,,,Eliberarea autorizațiilor de construcție,2.6
2014,,,Inspecția muncii,3.5
2015,,,,16.2
2015,Bărbați,,,23.0
2015,Femei,,,10.4
2015,,Secundare,,18.8
2015,,Mediu de specialitate,,9.4
2015,,Superior,,17.9
2015,,,Inspectoratele fiscale,5.7
2015,,,Vama,3.3
2015,,,Poliția,4.9
2015,,,Procuratura,0.4
2015,,,Inspecțiile sanitar-epidemiologice,3.1
2015,,,Birourile/serviciile cadastrale,0.0
2015,,,Instanțele de judecată,1.0
2015,,,Achizițiile publice,0.4
2015,,,Înregistrarea transportului și eliberarea permisului de conducere,2.5
2015,,,Revizia tehnică a automobilelor,4.3
2015,,,Eliberarea autorizațiilor de construcție,1.4
2015,,,Inspecția muncii,2.9
2016,,,,
2016,Bărbați,,,
2016,Femei,,,
2016,,Secundare,,
2016,,Mediu de specialitate,,
2016,,Superior,,
2016,,,Inspectoratele fiscale,
2016,,,Vama,
2016,,,Poliția,
2016,,,Procuratura,
2016,,,Inspecțiile sanitar-epidemiologice,
2016,,,Birourile/serviciile cadastrale,
2016,,,Instanțele de judecată,
2016,,,Achizițiile publice,
2016,,,Înregistrarea transportului și eliberarea permisului de conducere,
2016,,,Revizia tehnică a automobilelor,
2016,,,Eliberarea autorizațiilor de construcție,
2016,,,Inspecția muncii,
2017,,,,
2017,Bărbați,,,
2017,Femei,,,
2017,,Secundare,,
2017,,Mediu de specialitate,,
2017,,Superior,,
2017,,,Inspectoratele fiscale,
2017,,,Vama,
2017,,,Poliția,
2017,,,Procuratura,
2017,,,Inspecțiile sanitar-epidemiologice,
2017,,,Birourile/serviciile cadastrale,
2017,,,Instanțele de judecată,
2017,,,Achizițiile publice,
2017,,,Înregistrarea transportului și eliberarea permisului de conducere,
2017,,,Revizia tehnică a automobilelor,
2017,,,Eliberarea autorizațiilor de construcție,
2017,,,Inspecția muncii,
2018,,,,4.6
2018,Bărbați,,,4.9
2018,Femei,,,4.2
2018,,Secundare,,4.3
2018,,Mediu de specialitate,,4.1
2018,,Superior,,4.5
2018,,,Inspectoratele fiscale,1.5
2018,,,Vama,1.1
2018,,,Poliția,1.5
2018,,,Procuratura,0.2
2018,,,Inspecțiile sanitar-epidemiologice,1.3
2018,,,Birourile/serviciile cadastrale,0.2
2018,,,Instanțele de judecată,0.2
2018,,,Achizițiile publice,0.2
2018,,,Înregistrarea transportului și eliberarea permisului de conducere,0.2
2018,,,Revizia tehnică a automobilelor,0.8
2018,,,Eliberarea autorizațiilor de construcție,0.2
2018,,,Inspecția muncii,0.8
2019,,,,
2019,Bărbați,,,
2019,Femei,,,
2019,,Secundare,,
