Year,"Accidente mortale, după sex","Accidente mortale, după activități economice","Accidente nemortale, după sex","Accidente nemortale, după activități economice",Value
2013,Total,,,,6.2
2013,Bărbați,,,,13.3
2013,Femei,,,,0.3
2013,,"Agricultura, silvicultura și pescuit",,,
2013,,Industrie,,,
2013,,Industria extractivă,,,
2013,,Industria prelucrătoare,,,
2013,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2013,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2013,,Construcții,,,
2013,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2013,,Transport și depozitare,,,
2013,,Activitati de cazare si alimentatie publica,,,
2013,,Informații și comunicații,,,
2013,,Activități financiare și de asigurări,,,
2013,,Tranzacții imobiliare,,,
2013,,"Activități profesionale, științifice și tehnice",,,
2013,,Activitati de servicii administrative si activitati de servicii suport,,,
2013,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2013,,Învățământ,,,
2013,,Sănătate și asistență socială,,,
2013,,"Arta, activități de recreere și de agrement",,,
2013,,Alte activități de servicii,,,
2013,,,Total,,90.6
2013,,,Bărbați,,158.4
2013,,,Femei,,45.7
2013,,,,"Agricultura, silvicultura și pescuit",
2013,,,,Industrie,
2013,,,,Industria extractivă,
2013,,,,Industria prelucrătoare,
2013,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2013,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2013,,,,Construcții,
2013,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2013,,,,Transport și depozitare,
2013,,,,Activitati de cazare si alimentatie publica,
2013,,,,Informații și comunicații,
2013,,,,Activități financiare și de asigurări,
2013,,,,Tranzacții imobiliare,
2013,,,,"Activități profesionale, științifice și tehnice",
2013,,,,Activitati de servicii administrative si activitati de servicii suport,
2013,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2013,,,,Învățământ,
2013,,,,Sănătate și asistență socială,
2013,,,,"Arta, activități de recreere și de agrement",
2013,,,,Alte activități de servicii,
2014,,,,,
2014,Total,,,,5.9
2014,Bărbați,,,,12.7
2014,Femei,,,,0.3
2014,,"Agricultura, silvicultura și pescuit",,,
2014,,Industrie,,,
2014,,Industria extractivă,,,
2014,,Industria prelucrătoare,,,
2014,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2014,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2014,,Construcții,,,
2014,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2014,,Transport și depozitare,,,
2014,,Activitati de cazare si alimentatie publica,,,
2014,,Informații și comunicații,,,
2014,,Activități financiare și de asigurări,,,
2014,,Tranzacții imobiliare,,,
2014,,"Activități profesionale, științifice și tehnice",,,
2014,,Activitati de servicii administrative si activitati de servicii suport,,,
2014,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2014,,Învățământ,,,
2014,,Sănătate și asistență socială,,,
2014,,"Arta, activități de recreere și de agrement",,,
2014,,Alte activități de servicii,,,
2014,,,Total,,80.0
2014,,,Bărbați,,150.9
2014,,,Femei,,31.4
2014,,,,"Agricultura, silvicultura și pescuit",
2014,,,,Industrie,
2014,,,,Industria extractivă,
2014,,,,Industria prelucrătoare,
2014,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2014,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2014,,,,Construcții,
2014,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2014,,,,Transport și depozitare,
2014,,,,Activitati de cazare si alimentatie publica,
2014,,,,Informații și comunicații,
2014,,,,Activități financiare și de asigurări,
2014,,,,Tranzacții imobiliare,
2014,,,,"Activități profesionale, științifice și tehnice",
2014,,,,Activitati de servicii administrative si activitati de servicii suport,
2014,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2014,,,,Învățământ,
2014,,,,Sănătate și asistență socială,
2014,,,,"Arta, activități de recreere și de agrement",
2014,,,,Alte activități de servicii,
2015,,,,,
2015,Total,,,,5.7
2015,Bărbați,,,,12.0
2015,Femei,,,,0.6
2015,,"Agricultura, silvicultura și pescuit",,,
2015,,Industrie,,,
2015,,Industria extractivă,,,
2015,,Industria prelucrătoare,,,
2015,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,
2015,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,
2015,,Construcții,,,
2015,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,
2015,,Transport și depozitare,,,
2015,,Activitati de cazare si alimentatie publica,,,
2015,,Informații și comunicații,,,
2015,,Activități financiare și de asigurări,,,
2015,,Tranzacții imobiliare,,,
2015,,"Activități profesionale, științifice și tehnice",,,
2015,,Activitati de servicii administrative si activitati de servicii suport,,,
2015,,Administratțe publică și apărare; asigurări sociale obligatorii,,,
2015,,Învățământ,,,
2015,,Sănătate și asistență socială,,,
2015,,"Arta, activități de recreere și de agrement",,,
2015,,Alte activități de servicii,,,
2015,,,Total,,67.8
2015,,,Bărbați,,121.6
2015,,,Femei,,29.4
2015,,,,"Agricultura, silvicultura și pescuit",
2015,,,,Industrie,
2015,,,,Industria extractivă,
2015,,,,Industria prelucrătoare,
2015,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",
2015,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",
2015,,,,Construcții,
2015,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,
2015,,,,Transport și depozitare,
2015,,,,Activitati de cazare si alimentatie publica,
2015,,,,Informații și comunicații,
2015,,,,Activități financiare și de asigurări,
2015,,,,Tranzacții imobiliare,
2015,,,,"Activități profesionale, științifice și tehnice",
2015,,,,Activitati de servicii administrative si activitati de servicii suport,
2015,,,,Administratțe publică și apărare; asigurări sociale obligatorii,
2015,,,,Învățământ,
2015,,,,Sănătate și asistență socială,
2015,,,,"Arta, activități de recreere și de agrement",
2015,,,,Alte activități de servicii,
2016,,,,,
2016,Total,,,,4.9
2016,Bărbați,,,,9.0
2016,Femei,,,,1.3
2016,,"Agricultura, silvicultura și pescuit",,,10.9
2016,,Industrie,,,7.1
2016,,Industria extractivă,,,0.0
2016,,Industria prelucrătoare,,,7.7
2016,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2016,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,13.0
2016,,Construcții,,,14.5
2016,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,5.4
2016,,Transport și depozitare,,,19.5
2016,,Activitati de cazare si alimentatie publica,,,0.0
2016,,Informații și comunicații,,,0.0
2016,,Activități financiare și de asigurări,,,0.0
2016,,Tranzacții imobiliare,,,8.6
2016,,"Activități profesionale, științifice și tehnice",,,0.0
2016,,Activitati de servicii administrative si activitati de servicii suport,,,18.2
2016,,Administratțe publică și apărare; asigurări sociale obligatorii,,,0.0
2016,,Învățământ,,,0.0
2016,,Sănătate și asistență socială,,,0.0
2016,,"Arta, activități de recreere și de agrement",,,0.0
2016,,Alte activități de servicii,,,0.0
2016,,,Total,,57.6
2016,,,Bărbați,,74.1
2016,,,Femei,,43.0
2016,,,,"Agricultura, silvicultura și pescuit",76.2
2016,,,,Industrie,97.9
2016,,,,Industria extractivă,194.4
2016,,,,Industria prelucrătoare,86.9
2016,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",134.9
2016,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",130.1
2016,,,,Construcții,87.2
2016,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,42.4
2016,,,,Transport și depozitare,89.3
2016,,,,Activitati de cazare si alimentatie publica,40.5
2016,,,,Informații și comunicații,33.2
2016,,,,Activități financiare și de asigurări,41.4
2016,,,,Tranzacții imobiliare,34.4
2016,,,,"Activități profesionale, științifice și tehnice",12.9
2016,,,,Activitati de servicii administrative si activitati de servicii suport,136.3
2016,,,,Administratțe publică și apărare; asigurări sociale obligatorii,15.5
2016,,,,Învățământ,19.1
2016,,,,Sănătate și asistență socială,79.6
2016,,,,"Arta, activități de recreere și de agrement",110.3
2016,,,,Alte activități de servicii,45.8
2017,,,,,
2017,Total,,,,6.8
2017,Bărbați,,,,14.5
2017,Femei,,,,0.0
2017,,"Agricultura, silvicultura și pescuit",,,29.3
2017,,Industrie,,,5.7
2017,,Industria extractivă,,,197.9
2017,,Industria prelucrătoare,,,2.4
2017,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,0.0
2017,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,0.0
2017,,Construcții,,,36.7
2017,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,2.1
2017,,Transport și depozitare,,,22.8
2017,,Activitati de cazare si alimentatie publica,,,0.0
2017,,Informații și comunicații,,,0.0
2017,,Activități financiare și de asigurări,,,0.0
2017,,Tranzacții imobiliare,,,8.8
2017,,"Activități profesionale, științifice și tehnice",,,0.0
2017,,Activitati de servicii administrative si activitati de servicii suport,,,17.1
2017,,Administratțe publică și apărare; asigurări sociale obligatorii,,,4.0
2017,,Învățământ,,,1.0
2017,,Sănătate și asistență socială,,,0.0
2017,,"Arta, activități de recreere și de agrement",,,0.0
2017,,Alte activități de servicii,,,0.0
2017,,,Total,,68.0
2017,,,Bărbați,,94.5
2017,,,Femei,,44.2
2017,,,,"Agricultura, silvicultura și pescuit",61.2
2017,,,,Industrie,90.0
2017,,,,Industria extractivă,49.5
2017,,,,Industria prelucrătoare,89.3
2017,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",73.2
2017,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",132.8
2017,,,,Construcții,114.6
2017,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,49.8
2017,,,,Transport și depozitare,74.2
2017,,,,Activitati de cazare si alimentatie publica,40.0
2017,,,,Informații și comunicații,37.8
2017,,,,Activități financiare și de asigurări,40.4
2017,,,,Tranzacții imobiliare,53.0
2017,,,,"Activități profesionale, științifice și tehnice",25.9
2017,,,,Activitati de servicii administrative si activitati de servicii suport,85.4
2017,,,,Administratțe publică și apărare; asigurări sociale obligatorii,169.4
2017,,,,Învățământ,22.6
2017,,,,Sănătate și asistență socială,72.1
2017,,,,"Arta, activități de recreere și de agrement",33.2
2017,,,,Alte activități de servicii,39.5
2018,,,,,
2018,Total,,,,6.2
2018,Bărbați,,,,12.6
2018,Femei,,,,0.3
2018,,"Agricultura, silvicultura și pescuit",,,5.3
2018,,Industrie,,,9.2
2018,,Industria extractivă,,,0.0
2018,,Industria prelucrătoare,,,6.8
2018,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",,,9.4
2018,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",,,39.6
2018,,Construcții,,,25.6
2018,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,,,5.9
2018,,Transport și depozitare,,,25.5
2018,,Activitati de cazare si alimentatie publica,,,0.0
2018,,Informații și comunicații,,,0.0
2018,,Activități financiare și de asigurări,,,0.0
2018,,Tranzacții imobiliare,,,9.1
2018,,"Activități profesionale, științifice și tehnice",,,6.5
2018,,Activitati de servicii administrative si activitati de servicii suport,,,7.8
2018,,Administratțe publică și apărare; asigurări sociale obligatorii,,,2.0
2018,,Învățământ,,,0.0
2018,,Sănătate și asistență socială,,,0.0
2018,,"Arta, activități de recreere și de agrement",,,8.2
2018,,Alte activități de servicii,,,0.0
2018,,,Total,,75.9
2018,,,Bărbați,,104.5
2018,,,Femei,,49.6
2018,,,,"Agricultura, silvicultura și pescuit",42.5
2018,,,,Industrie,108.5
2018,,,,Industria extractivă,51.3
2018,,,,Industria prelucrătoare,106.0
2018,,,,"Producția și furnizarea de energie electrică și termică, gaze, apa caldă și aer condiționat",122.3
2018,,,,"Distribuția apei; salubritate, gestionarea deșeurilor, activitați de decontaminare",132.1
2018,,,,Construcții,76.8
2018,,,,Comerț cu ridicata și cu amănuntul; întreținerea și repararea autovehiculelor și a motocicletelor,55.1
2018,,,,Transport și depozitare,84.9
2018,,,,Activitati de cazare si alimentatie publica,0.0
2018,,,,Informații și comunicații,41.0
2018,,,,Activități financiare și de asigurări,47.7
2018,,,,Tranzacții imobiliare,27.3
