Year,Sex,Grupa de vârstă,Disease Group,Value
2018,,,including prophylaxis of rickets and anemia in children,
2018,,,Digestive system diseases ,
2018,,,Diseases of the eye and its adnexa,
2018,,,Genitourinary system diseases,
2018,,,Mental and behavioral disorders,
2018,,,Nervous system diseases,
2019,,,,31.5
2019,Bărbați,,,26.3
2019,Femei,,,36.2
2019,,0-14,,47.2
2019,,15-24,,12.1
2019,,25-34,,6.1
2019,,35-44,,7.6
2019,,45-54,,20.9
2019,,16-55,,27.7
2019,,56+,,56.3
2019,,,Circulatory system diseases,
2019,,,including hypertensive disease,
2019,,,"Endocrine, nutritional and metabolic diseases",
2019,,,including diabetes mellitus,
2019,,,Respiratory system diseases,
2019,,,Musculoskeletal system and connective tissue diseases,
2019,,,Influencing factors of the health status and reasons for seeking health services,
2019,,,including prophylaxis of rickets and anemia in children,
2019,,,Digestive system diseases ,
2019,,,Diseases of the eye and its adnexa,
2019,,,Genitourinary system diseases,
2019,,,Mental and behavioral disorders,
2019,,,Nervous system diseases,
2020,,,,28.1
2020,Bărbați,,,23.1
2020,Femei,,,32.7
2020,,0-14,,37.7
2020,,15-24,,11.8
2020,,25-34,,5.1
2020,,35-44,,6.1
2020,,45-54,,16.5
2020,,16-55,,25.8
2020,,56+,,54.1
2020,,,Circulatory system diseases,
2020,,,including hypertensive disease,
2020,,,"Endocrine, nutritional and metabolic diseases",
2020,,,including diabetes mellitus,
2020,,,Respiratory system diseases,
2020,,,Musculoskeletal system and connective tissue diseases,
2020,,,Influencing factors of the health status and reasons for seeking health services,
2020,,,including prophylaxis of rickets and anemia in children,
2020,,,Digestive system diseases ,
2020,,,Diseases of the eye and its adnexa,
2020,,,Genitourinary system diseases,
2020,,,Mental and behavioral disorders,
2020,,,Nervous system diseases,
2021,,,,28.9
2021,Bărbați,,,23.7
2021,Femei,,,33.6
2021,,0-14,,33.7
2021,,15-24,,10.0
2021,,25-34,,5.7
2021,,35-44,,7.4
2021,,45-54,,19.6
2021,,16-55,,27.7
2021,,56+,,56.9
2021,,,Circulatory system diseases,
2021,,,including hypertensive disease,
2021,,,"Endocrine, nutritional and metabolic diseases",
2021,,,including diabetes mellitus,
2021,,,Respiratory system diseases,
2021,,,Musculoskeletal system and connective tissue diseases,
2021,,,Influencing factors of the health status and reasons for seeking health services,
2021,,,including prophylaxis of rickets and anemia in children,
2021,,,Digestive system diseases ,
2021,,,Diseases of the eye and its adnexa,
2021,,,Genitourinary system diseases,
2021,,,Mental and behavioral disorders,
2021,,,Nervous system diseases,
2022,,,,30.7
2022,Bărbați,,,25.7
2022,Femei,,,35.2
2022,,0-14,,38.8
2022,,15-24,,12.3
2022,,25-34,,5.6
2022,,35-44,,7.3
2022,,45-54,,20.1
2022,,16-55,,28.8
2022,,56+,,57.7
2022,,,Circulatory system diseases,
2022,,,including hypertensive disease,
2022,,,"Endocrine, nutritional and metabolic diseases",
2022,,,including diabetes mellitus,
2022,,,Respiratory system diseases,
2022,,,Musculoskeletal system and connective tissue diseases,
2022,,,Influencing factors of the health status and reasons for seeking health services,
2022,,,including prophylaxis of rickets and anemia in children,
2022,,,Digestive system diseases ,
2022,,,Diseases of the eye and its adnexa,
2022,,,Genitourinary system diseases,
2022,,,Mental and behavioral disorders,
2022,,,Nervous system diseases,
2023,,,,30.2
2023,Bărbați,,,25.3
2023,Femei,,,34.6
2023,,0-14,,44.4
2023,,15-24,,11.3
2023,,25-34,,4.3
2023,,35-44,,7.1
2023,,45-54,,19.8
2023,,16-55,,26.8
2023,,56+,,59.3
2023,,,Circulatory system diseases,
2023,,,including hypertensive disease,
2023,,,"Endocrine, nutritional and metabolic diseases",
2023,,,including diabetes mellitus,
2023,,,Respiratory system diseases,
2023,,,Musculoskeletal system and connective tissue diseases,
2023,,,Influencing factors of the health status and reasons for seeking health services,
2023,,,including prophylaxis of rickets and anemia in children,
2023,,,Digestive system diseases ,
2023,,,Diseases of the eye and its adnexa,
2023,,,Genitourinary system diseases,
2023,,,Mental and behavioral disorders,
2023,,,Nervous system diseases,
2024,,,,30.45
2024,Bărbați,,,24.58
2024,Femei,,,33.78
