Year,Sex,Age group,Districts,Value
2015,,,Rezina,8.5
2015,,,Straseni,7.0
2015,,,Soldanesti,15.1
2015,,,Telenesti,9.2
2015,,,Ungheni,6.1
2015,,,South,
2015,,,Basarabeasca,8.2
2015,,,Cahul,5.1
2015,,,Cantemir,6.1
2015,,,Causeni,4.9
2015,,,Cimislia,6.3
2015,,,Leova,5.2
2015,,,Stefan Voda,6.3
2015,,,Taraclia,8.3
2015,,,UTA Gagauzia,10.2
2016,,,,6.5
2016,Men,,,7.1
2016,Women,,,6.0
2016,,15-24,,5.3
2016,,25-34,,3.6
2016,,35-44,,5.9
2016,,45-54,,11.6
2016,,55+,,11.3
2016,,,Mun. Chisinau,4.4
2016,,,North,
2016,,,mun. Balti,7.5
2016,,,Briceni,7.6
2016,,,Donduseni,7.1
2016,,,Drochia,7.0
2016,,,Edinet,9.0
2016,,,Falesti,5.8
2016,,,Floresti,7.4
2016,,,Glodeni,5.3
2016,,,Ocnita,6.8
2016,,,Rascani,7.1
2016,,,Sangerei,8.0
2016,,,Soroca,8.7
2016,,,Centre,
2016,,,Anenii Noi,6.0
2016,,,Calarasi,8.2
2016,,,Criuleni,6.2
2016,,,Dubasari,8.1
2016,,,Hancesti,5.8
2016,,,Ialoveni,5.5
2016,,,Nisporeni,6.4
2016,,,Orhei,7.1
2016,,,Rezina,9.0
2016,,,Straseni,7.1
2016,,,Soldanesti,16.4
2016,,,Telenesti,9.2
2016,,,Ungheni,6.1
2016,,,South,
2016,,,Basarabeasca,8.0
2016,,,Cahul,5.2
2016,,,Cantemir,6.0
2016,,,Causeni,5.0
2016,,,Cimislia,6.2
2016,,,Leova,5.2
2016,,,Stefan Voda,6.3
2016,,,Taraclia,8.4
2016,,,UTA Gagauzia,10.2
2017,,,,6.6
2017,Men,,,7.2
2017,Women,,,6.0
2017,,15-24,,5.6
2017,,25-34,,3.7
2017,,35-44,,5.9
2017,,45-54,,11.4
2017,,55+,,11.2
2017,,,Mun. Chisinau,4.3
2017,,,North,
2017,,,mun. Balti,7.3
2017,,,Briceni,7.7
2017,,,Donduseni,7.1
2017,,,Drochia,6.9
2017,,,Edinet,9.2
2017,,,Falesti,5.8
2017,,,Floresti,7.4
2017,,,Glodeni,5.3
2017,,,Ocnita,6.8
2017,,,Rascani,6.9
2017,,,Sangerei,8.2
2017,,,Soroca,8.7
2017,,,Centre,
2017,,,Anenii Noi,6.2
2017,,,Calarasi,8.5
2017,,,Criuleni,6.2
2017,,,Dubasari,8.3
2017,,,Hancesti,6.0
2017,,,Ialoveni,5.6
2017,,,Nisporeni,6.5
2017,,,Orhei,7.2
2017,,,Rezina,9.6
2017,,,Straseni,7.2
2017,,,Soldanesti,17.5
2017,,,Telenesti,9.5
2017,,,Ungheni,6.2
2017,,,South,
2017,,,Basarabeasca,7.9
2017,,,Cahul,5.3
2017,,,Cantemir,6.2
2017,,,Causeni,5.0
2017,,,Cimislia,6.3
2017,,,Leova,5.6
2017,,,Stefan Voda,6.3
2017,,,Taraclia,8.6
2017,,,UTA Gagauzia,10.3
2018,,,,6.6
2018,Men,,,7.2
2018,Women,,,6.0
2018,,15-24,,5.3
2018,,25-34,,3.7
2018,,35-44,,5.7
2018,,45-54,,11.1
2018,,55+,,11.4
2018,,,Mun. Chisinau,4.3
2018,,,North,
2018,,,mun. Balti,7.2
2018,,,Briceni,7.8
2018,,,Donduseni,6.9
2018,,,Drochia,6.9
2018,,,Edinet,9.2
