Year,Area of residence,Educational level,Wealth quintiles ,Age group,Occupational status,Marital status,Value
2018,,,IV,,,,
2018,,,V,,,,
2018,,,,15-19,,,
2018,,,,20-24,,,
2018,,,,25-29,,,
2018,,,,30-34,,,
2018,,,,35-39,,,
2018,,,,40-44,,,
2018,,,,45-49,,,
2018,,,,,Employed,,
2018,,,,,Self-employed ,,
2018,,,,,Retiree,,
2018,,,,,Unemployed,,
2018,,,,,Other status,,
2018,,,,,,Married,
2018,,,,,,Cohabiting,
2019,,,,,,,
2019,Urban,,,,,,
2019,Rural,,,,,,
2019,,Primary,,,,,
2019,,Lower secondary,,,,,
2019,,General secondary,,,,,
2019,,Vocational secondary,,,,,
2019,,Post-secondary vocational,,,,,
2019,,Higher,,,,,
2019,,,I,,,,
2019,,,II,,,,
2019,,,III,,,,
2019,,,IV,,,,
2019,,,V,,,,
2019,,,,15-19,,,
2019,,,,20-24,,,
2019,,,,25-29,,,
2019,,,,30-34,,,
2019,,,,35-39,,,
2019,,,,40-44,,,
2019,,,,45-49,,,
2019,,,,,Employed,,
2019,,,,,Self-employed ,,
2019,,,,,Retiree,,
2019,,,,,Unemployed,,
2019,,,,,Other status,,
2019,,,,,,Married,
2019,,,,,,Cohabiting,
2020,,,,,,,73.3
2020,Urban,,,,,,72.5
2020,Rural,,,,,,74.0
2020,,Primary,,,,,59.2
2020,,Lower secondary,,,,,67.8
2020,,General secondary,,,,,77.9
2020,,Vocational secondary,,,,,70.6
2020,,Post-secondary vocational,,,,,74.4
2020,,Higher,,,,,77.9
2020,,,I,,,,74.0
2020,,,II,,,,83.9
2020,,,III,,,,72.8
2020,,,IV,,,,69.8
2020,,,V,,,,69.2
2020,,,,15-19,,,68.4
2020,,,,20-24,,,71.3
2020,,,,25-29,,,77.2
2020,,,,30-34,,,71.6
2020,,,,35-39,,,75.4
2020,,,,40-44,,,71.9
2020,,,,45-49,,,71.8
2020,,,,,Employed,,71.3
2020,,,,,Self-employed ,,85.6
