Year,Indicators,Value
2010,Merchandise trade,0.0
2010,Services,0.0
2011,Merchandise trade,0.0
2011,Services,0.0
2012,Merchandise trade,0.0
2012,Services,0.0
2013,Merchandise trade,0.0
2013,Services,0.0
2014,Merchandise trade,0.0
2014,Services,0.0
2015,Merchandise trade,0.0
2015,Services,0.0
2016,Merchandise trade,0.0
2016,Services,0.0
2017,Merchandise trade,0.0
2017,Services,0.0
2018,Merchandise trade,0.0
2018,Services,0.0
2019,Merchandise trade,0.0
2019,Services,0.0
2020,Merchandise trade,0.0
2020,Services,0.0
2021,Merchandise trade,
2021,Services,
2022,Merchandise trade,
2022,Services,
