Year,Index,Value
2010,,
2010,Index (rank),
2011,,
2011,Index (rank),
2012,,
2012,Index (rank),
2013,,73.99
2013,Index (rank),55.0
2014,,74.65
2014,Index (rank),56.0
2015,,72.15
2015,Index (rank),72.0
2016,,71.17
2016,Index (rank),76.0
2017,,69.59
2017,Index (rank),80.0
2018,,69.99
2018,Index (rank),81.0
2019,,68.79
2019,Index (rank),91.0
2020,,68.84
2020,Index (rank),91.0
2021,,68.39
2021,Index (rank),89.0
2022,,73.47
2022,Index (rank),40.0
2023,,77.62
2023,Index (rank),28.0
2024,,74.86
2024,Index (rank),31.0
2025,,73.36
2025,Index (rank),35.0
