Year,Classes of disasters,Age group,Sex,Districts,Value
2014,,,,Cimislia,0.0
2014,,,,Leova,0.0
2014,,,,Stefan Voda,0.0
2014,,,,Taraclia,0.0
2014,,,,ATU Gagauzia,0.0
2015,,,,,0.0
2015,Technogenic,,,,0.0
2015,Natural  (by genres),,,,0.0
2015,Social and biological,,,,0.0
2015,Fires,,,,0.0
2015,,0-17 years,,,0.0
2015,,18 years and over,,,0.0
2015,,,Men,,0.0
2015,,,Women,,0.0
2015,,,,Mun. Chisinau,0.0
2015,,,,North,0.0
2015,,,,mun. Balti,0.0
2015,,,,Briceni,0.0
2015,,,,Donduseni,0.0
2015,,,,Drochia,0.0
2015,,,,Edinet,0.0
2015,,,,Falesti,0.0
2015,,,,Floresti,0.0
2015,,,,Glodeni,0.0
2015,,,,Ocnita,0.0
2015,,,,Rascani,0.0
2015,,,,Sangerei,0.0
2015,,,,Soroca,0.0
2015,,,,Centre,0.0
2015,,,,Anenii Noi,0.0
2015,,,,Calarasi,0.0
2015,,,,Criuleni,0.0
2015,,,,Dubasari,0.0
2015,,,,Hancesti,0.0
2015,,,,Ialoveni,0.0
2015,,,,Nisporeni,0.0
2015,,,,Orhei,0.0
2015,,,,Rezina,0.0
2015,,,,Straseni,0.0
2015,,,,Soldanesti,0.0
2015,,,,Telenesti,0.0
2015,,,,Ungheni,0.0
2015,,,,South,0.0
2015,,,,Basarabeasca,0.0
2015,,,,Cahul,0.0
2015,,,,Cantemir,0.0
2015,,,,Causeni,0.0
2015,,,,Cimislia,0.0
2015,,,,Leova,0.0
2015,,,,Stefan Voda,0.0
2015,,,,Taraclia,0.0
2015,,,,ATU Gagauzia,0.0
2016,,,,,0.0
2016,Technogenic,,,,0.0
2016,Natural  (by genres),,,,0.0
2016,Social and biological,,,,0.0
2016,Fires,,,,0.0
2016,,0-17 years,,,0.0
2016,,18 years and over,,,0.0
2016,,,Men,,0.0
2016,,,Women,,0.0
2016,,,,Mun. Chisinau,0.0
2016,,,,North,0.0
2016,,,,mun. Balti,0.0
2016,,,,Briceni,0.0
2016,,,,Donduseni,0.0
2016,,,,Drochia,0.0
2016,,,,Edinet,0.0
2016,,,,Falesti,0.0
2016,,,,Floresti,0.0
2016,,,,Glodeni,0.0
2016,,,,Ocnita,0.0
2016,,,,Rascani,0.0
2016,,,,Sangerei,0.0
2016,,,,Soroca,0.0
2016,,,,Centre,0.0
2016,,,,Anenii Noi,0.0
2016,,,,Calarasi,0.0
2016,,,,Criuleni,0.0
2016,,,,Dubasari,0.0
2016,,,,Hancesti,0.0
2016,,,,Ialoveni,0.0
2016,,,,Nisporeni,0.0
2016,,,,Orhei,0.0
2016,,,,Rezina,0.0
2016,,,,Straseni,0.0
2016,,,,Soldanesti,0.0
2016,,,,Telenesti,0.0
2016,,,,Ungheni,0.0
2016,,,,South,0.0
2016,,,,Basarabeasca,0.0
2016,,,,Cahul,0.0
2016,,,,Cantemir,0.0
2016,,,,Causeni,0.0
2016,,,,Cimislia,0.0
2016,,,,Leova,0.0
2016,,,,Stefan Voda,0.0
2016,,,,Taraclia,0.0
2016,,,,ATU Gagauzia,0.0
2017,,,,,0.0
2017,Technogenic,,,,0.0
2017,Natural  (by genres),,,,0.0
2017,Social and biological,,,,0.0
2017,Fires,,,,0.0
2017,,0-17 years,,,0.0
2017,,18 years and over,,,0.0
2017,,,Men,,0.0
2017,,,Women,,0.0
2017,,,,Mun. Chisinau,0.0
2017,,,,North,0.0
2017,,,,mun. Balti,0.0
2017,,,,Briceni,0.0
2017,,,,Donduseni,0.0
2017,,,,Drochia,0.0
2017,,,,Edinet,0.0
2017,,,,Falesti,0.0
2017,,,,Floresti,0.0
2017,,,,Glodeni,0.0
2017,,,,Ocnita,0.0
2017,,,,Rascani,0.0
2017,,,,Sangerei,0.0
2017,,,,Soroca,0.0
2017,,,,Centre,0.0
2017,,,,Anenii Noi,0.0
2017,,,,Calarasi,0.0
2017,,,,Criuleni,0.0
2017,,,,Dubasari,0.0
2017,,,,Hancesti,0.0
2017,,,,Ialoveni,0.0
2017,,,,Nisporeni,0.0
2017,,,,Orhei,0.0
2017,,,,Rezina,0.0
2017,,,,Straseni,0.0
2017,,,,Soldanesti,0.0
2017,,,,Telenesti,0.0
2017,,,,Ungheni,0.0
2017,,,,South,0.0
