Year,Sex,Grupa de vârstă  a victimei,Mijloace de săvîrșire,Contextul/motivul,Value
2015,,0-17 ani,,,0.5
2015,,18 ani și peste,,,8.4
2015,,,Arme de foc şi substanţe explozive,,0.3
2015,,,"Arme albe (cuţit, obiect înţepător)",,1.0
2015,,,"Instrumente (rangă, topor, ciocan etc.)",,0.3
2015,,,Alte mijloace,,5.1
2015,,,,Răzbunare,0.1
2015,,,,Gelozie,0.2
2015,,,,Ceartă,1.2
2015,,,,Motiv legat de relaţii familiare,0.4
2015,,,,La comandă,0.0
2015,,,,Alte motive,4.8
2016,,,,,7.1
2016,Bărbați,,,,11.3
2016,Femei,,,,3.3
2016,,0-17 ani,,,0.2
2016,,18 ani și peste,,,9.0
2016,,,Arme de foc şi substanţe explozive,,0.3
2016,,,"Arme albe (cuţit, obiect înţepător)",,1.3
2016,,,"Instrumente (rangă, topor, ciocan etc.)",,0.2
2016,,,Alte mijloace,,5.5
2016,,,,Răzbunare,0.1
2016,,,,Gelozie,0.1
2016,,,,Ceartă,0.9
2016,,,,Motiv legat de relaţii familiare,0.4
2016,,,,La comandă,
2016,,,,Alte motive,5.7
2017,,,,,5.1
2017,Bărbați,,,,8.0
2017,Femei,,,,2.5
2017,,0-17 ani,,,0.8
2017,,18 ani și peste,,,6.3
2017,,,Arme de foc şi substanţe explozive,,0.5
2017,,,"Arme albe (cuţit, obiect înţepător)",,1.6
2017,,,"Instrumente (rangă, topor, ciocan etc.)",,0.5
2017,,,Alte mijloace,,2.6
2017,,,,Răzbunare,0.2
2017,,,,Gelozie,0.2
2017,,,,Ceartă,1.6
2017,,,,Motiv legat de relaţii familiare,0.4
2017,,,,La comandă,0.0
2017,,,,Alte motive,2.7
2018,,,,,6.1
2018,Bărbați,,,,9.7
2018,Femei,,,,2.9
2018,,0-17 ani,,,0.8
2018,,18 ani și peste,,,7.4
2018,,,Arme de foc şi substanţe explozive,,0.5
2018,,,"Arme albe (cuţit, obiect înţepător)",,1.6
2018,,,"Instrumente (rangă, topor, ciocan etc.)",,0.6
2018,,,Alte mijloace,,3.5
2018,,,,Răzbunare,0.2
2018,,,,Gelozie,0.1
2018,,,,Ceartă,1.5
2018,,,,Motiv legat de relaţii familiare,0.5
2018,,,,La comandă,0.0
2018,,,,Alte motive,3.9
2019,,,,,6.5
2019,Bărbați,,,,9.8
2019,Femei,,,,3.4
2019,,0-17 ani,,,1.4
2019,,18 ani și peste,,,7.9
2019,,,Arme de foc şi substanţe explozive,,0.6
2019,,,"Arme albe (cuţit, obiect înţepător)",,2.0
2019,,,"Instrumente (rangă, topor, ciocan etc.)",,0.3
2019,,,Alte mijloace,,3.6
2019,,,,Răzbunare,0.5
2019,,,,Gelozie,0.4
2019,,,,Ceartă,1.5
2019,,,,Motiv legat de relaţii familiare,0.6
2019,,,,La comandă,0.0
2019,,,,Alte motive,3.6
2020,,,,,4.7
2020,Bărbați,,,,7.1
2020,Femei,,,,2.5
2020,,0-17 ani,,,1.2
2020,,18 ani și peste,,,5.7
2020,,,Arme de foc şi substanţe explozive,,0.5
2020,,,"Arme albe (cuţit, obiect înţepător)",,1.5
2020,,,"Instrumente (rangă, topor, ciocan etc.)",,0.3
2020,,,Alte mijloace,,2.4
2020,,,,Răzbunare,0.1
2020,,,,Gelozie,0.2
2020,,,,Ceartă,1.5
2020,,,,Motiv legat de relaţii familiare,0.4
2020,,,,La comandă,0.0
2020,,,,Alte motive,2.5
2021,,,,,4.1
2021,Bărbați,,,,7.1
2021,Femei,,,,1.3
2021,,0-17 ani,,,0.5
2021,,18 ani și peste,,,5.0
2021,,,Arme de foc şi substanţe explozive,,0.6
2021,,,"Arme albe (cuţit, obiect înţepător)",,1.7
2021,,,"Instrumente (rangă, topor, ciocan etc.)",,0.4
2021,,,Alte mijloace,,1.4
2021,,,,Răzbunare,0.2
2021,,,,Gelozie,0.3
2021,,,,Ceartă,1.3
2021,,,,Motiv legat de relaţii familiare,0.3
2021,,,,La comandă,0.0
2021,,,,Alte motive,2.1
2022,,,,,4.4
2022,Bărbați,,,,6.7
2022,Femei,,,,2.3
2022,,0-17 ani,,,0.7
2022,,18 ani și peste,,,5.4
2022,,,Arme de foc şi substanţe explozive,,0.2
2022,,,"Arme albe (cuţit, obiect înţepător)",,1.6
2022,,,"Instrumente (rangă, topor, ciocan etc.)",,0.5
2022,,,Alte mijloace,,2.1
2022,,,,Răzbunare,0.1
2022,,,,Gelozie,0.3
2022,,,,Ceartă,1.4
2022,,,,Motiv legat de relaţii familiare,0.2
2022,,,,La comandă,0.0
2022,,,,Alte motive,2.3
