Value,Disaggregation combinations using this value,Number of indicators
Cyprus,1,1
Czech,1,1
Germany,1,1
Greece,1,1
Italy,1,1
Other,1,1
Poland,1,1
Portugal,1,1
Republic of Moldova,1,1
Romania,1,1
Russian Federation,1,1
Spain,1,1
Turkey,1,1
