Value,Disaggregation combinations using this value,Number of indicators
Blackmail (art 189),1,1
Brigandage (art. 189),1,1
Domestic violence (art.2011),1,1
Hooliganism (art.287),1,1
Intentional serious bodily harm (art.151),1,1
Kidnapping a person (art.164),1,1
Robbery (art. 187),1,1
Sexual assault (art. 171-1751),1,1
