Value,Disaggregation combinations using this value,Number of indicators
12-14 / Both sexes,2,2
12-14 / Men,2,2
12-14 / Women,2,2
15-17 / Both sexes,2,2
15-17 / Men,2,2
15-17 / Women,2,2
5-11 / Both sexes,2,2
5-11 / Men,2,2
5-11 / Women,2,2
5-17 / Both sexes,2,2
5-17 / Men,2,2
5-17 / Women,2,2
