Value,Disaggregation combinations using this value,Number of indicators
General objective 1. Improving access to decision-making processes at central and local public administration level,1,1
General objective 2. Ensuring sustainable funding for civil society organizations from both public and alternative sources,1,1
General objective 3. Strengthening the operating environment for civil society organizations to achieve their mission effectively and sustainably,1,1
