Value,Disaggregation combinations using this value,Number of indicators
15-24/ Women,1,1
15-24/Men,1,1
25-34/Men,1,1
25-34/Women,1,1
35-44/Men,1,1
35-44/Women,1,1
45-49/Men,1,1
45-49/Women,1,1
