Value,Disaggregation combinations using this value,Number of indicators
Aromatic and medicinal plants,1,1
Berry crops,1,1
Cereal crops,1,1
Corn,1,1
Leguminous crops for grains,1,1
Pomology (Fruit growing),1,1
Potato,1,1
Sorghum crops,1,1
Total,1,1
Vegetable growing (Vegetable crops),1,1
Viticulture,1,1
