Value,Disaggregation combinations using this value,Number of indicators
0-17 (2014-2024),1,1
18-29 (2014-2024),1,1
 (2014-2024),1,1
30-39 (2014-2024),1,1
40-49 (2014-2024),1,1
50-59 (2014-2024),1,1
60+ (2014-2024),1,1
Rural (2014-2024),1,1
Total (2014-2024),1,1
Urban (2014-2024),1,1
Women (2014-2024),1,1
