Value,Disaggregation combinations using this value,Number of indicators
Church,2,2
Other,2,2
Place of work,2,2
Police,2,2
Polyclinic,2,2
School,2,2
Shop,2,2
Social assistance,2,2
Street,2,2
Town hall,2,2
