Value,Disaggregation combinations using this value,Number of indicators
Bachelor's Degree - Information and Communication Technology,1,1
Bachelor's Degree - Number of budgetary places in the state order for enrollment in higher education,1,1
"Bachelor's Degree - Technical, Engineering and Science Programs",1,1
