Value,Disaggregation combinations using this value,Number of indicators
Economic and Social Council - the United Nations (ECOSOC),2,2
International Bank for Reconstruction and Development (IBRD),2,2
International Finance Corporation (IFC),2,2
International Monetary Fund (IMF),2,2
UN General Assembly (UNGA),2,2
World Trade Organization (WTO),2,2
