Value,Disaggregation combinations using this value,Number of indicators
Afghanistan,1,1
Armenia,1,1
Azerbaijan,1,1
Belarus,1,1
Comoro Islands,1,1
Egypt,1,1
Eritrea,1,1
Iran,1,1
Iraq,1,1
Jordan,1,1
Kyrgyzstan,1,1
Leban,1,1
Nigeria,1,1
Russia,1,1
Sudan,1,1
Syria,1,1
Tajikistan,1,1
Togo,1,1
Turkey,1,1
Turkmenistan,1,1
Ukraine ,1,1
Uzbekistan,1,1
